问题,答案
11. 人生安于现状，这个催眠策略是什么？,11. 对自己的生活比较满意，比如工作稳定了、已经结婚生子了、房子车子都有了，或者拥有较高的社会地位和实现了财务自由、过上了自己想要的生活等等，让人安于现状，觉醒意愿低。
12. “活在当下”or“逃避当下”，这个催眠策略是什么？,12. 活好当下，每天开开心心就行了。去想觉不觉醒干嘛呢？对我来说，想办法把这一生过好就够了～下辈子再说下辈子吧～专注当下，当下开心，有什么不对吗？
13. 觉醒恐惧论，这个催眠策略是什么？,13. 整天想着觉醒，只能说明你害怕无法觉醒，想要摆脱人世生活。这是逃避！这是恐惧！过好这一生，放下那个想觉醒的心，觉醒与否与自己无关，你才能真正自由！
14. 寓言、故事、名人轶事、俗话说、常言道，这个催眠策略是什么？,14. 利用各种寓言、故事、篡改的名人轶事、以及常言、俗语植入催眠信息进行催眠。让人引用这些去控制他人。
15. 从众心态中的顺应大众心理，这个催眠策略是什么？,"15. 利用个体的从众心理。看别人做了，自己也跟着做吧。They jump, I jump."
16. 从众心态中的个体防护心理，这个催眠策略是什么？,16. 个体表意识时刻进行自我防护，选择自我世界里的认为最优策略，这正好可以被T利用。【举例】他都招了，你要是不招，恐怕 对你不利。再例如：他（可以是那个你 认为不好或者特好的人）都做了，你要 是不做就会怎么怎么样。
17. 急功近利，这个催眠策略是什么？,17. 利用个体希望迫切实现的目标加以引诱。迫切和急功近利的心理被利用，越求越不可得，越挣扎陷得越深。【举例】想快速发财跟我走，想马上找到 好老婆跟我走，想迫切实现什么就跟我走。
18. 修行高人一等，这个催眠策略是什么？,18. 修行就是高人一等，修行人可以看清真相，可以有神通，了不起，比一般人不知道高到哪里去了，从而看不起非修行人，或者甚至离群索居，孤芳自赏。
19. 社会标榜的主流价值观的裹挟，这个催眠策略是什么？,19. 通过社会主流价值观，让人按照社会标准设定的人生路线发展，你不参与就不被大众认可，就是不成功；要想成功，就要这样那样，通过人们的从众和渴望被认可的心理，控制人们不越界，不敢尝试。【举例】人到岁数必须结婚生子，人生 标配就是有房有车有工作有配偶有孩 子，人生才完美。
20. 沉溺虚拟世界，这个催眠策略是什么？,20. 依赖科技，比如手机、电脑、VR智能眼镜等等，被更物质化的幻象催眠，进入更深层幻象无法自拔，甚至被电子产品辐射远程控制。
21. 修行就是自虐，这个催眠策略是什么？,21. 修行非常非常苦，跟苦行僧自虐一样，不能尽情吃自己想吃的东西，不能干自己的兴趣爱好，不能享受生活，只能一生枯坐百年。
22. 得过且过，这个催眠策略是什么？,22. 生活很多问题，无力改变，反正命运是改变不了的，过一天算一天，混日子吧。
23. 避免恐惧低频，这个催眠策略是什么？,23. 既然我们的世界是由信念系统构成的，那我们只关注美好正向的东西，我们就会变得越来越好越来越高频。所以说，谁说这个世界有黑黑谁就是在散播恐惧！
24. 偏信“高灵”的信息，这个催眠策略是什么？,24. 对自己接收到的高灵信息，深信不疑，对一些模棱两可的信息会自圆其说。【举例】我得到的信息是催眠中高灵告诉 我的，怎么能有错？。我得到的信息是出 体以后，佛祖跟我说的，我出体亲眼所见。 我得到的信息是菩萨托梦给我的，当时菩 萨金光闪闪光芒万丈绝不会是假的……”
25. 盲目否定“高灵”信息，这个催眠策略是什么？,25. 对看不见摸不着的所谓高灵、潜意识、高我、指导灵等等，感觉很虚幻，无法证实他们的存在，怀疑他们可能根本就不存在。【举例】高灵真的存在吗？会不会是幻 觉？我们修行就是要“破幻” ，这些幻相 怎么能信？信了就是造幻！信了就在幻象 里团团转，出不去了！我们是要破幻， 就不能信那些神叨叨的通灵信息！破幻就 是要全面否定高灵信息！
26. 盲目否认催眠信息，这个催眠策略是什么？,26. 在尝试催眠后，感觉自己的头脑一直都是清醒的，自己说了什么全记得，觉得这催眠不成功，和自己想象的不一样，也觉得说出的那些内容全是自己瞎编的，根本没连接上什么所谓的高我高灵。
27. T组邪恶论，这个催眠策略是什么？,27. 阿T黑黑们太坏了！他们是负面是坏人是邪恶！他们害我不浅！我们要打败他们！消灭他们！我们是正义的一方！
28. 修行就是要修出功能，这个催眠策略是什么？,28. 修行就是通过修炼把本来没有的功能练出来，突破身体的限制，从而实现更大的自由，人生开挂。
29. T组是帮助人类的，这个催眠策略是什么？,29. 即便有T组存在，T组也是为了帮助人类的，没有正负，黑黑也是本源的显化，他们只是用看似负面的方式来对待我们，实则是在帮助我们！通过一些看起来伤害我们的方式来让我们认清自己的问题。
30. 个人崇拜，这个催眠策略是什么？,30. 听说谁是得道者就去膜拜，认为得道者高高在上，是我们应该崇拜的偶像，他说什么都是对的，相信他，膜拜他，祈请他的加持等等，这样能帮助自己解脱。
31. 上师依赖，这个催眠策略是什么？,31. 修道这么复杂、这么难的事，不找个老师怎么行？有了老师，自己就可以安心了，让老师帮自己开功能，给自己灌能量，帮助自己打通奇经八脉，带自己出体，最重要的是可以直接带自己飞升出轮回！自己省心省力，岂不美哉！
32. 把扬升到高次元当成终极目标，这个催眠策略是什么？,32. 地球马上要扬升到第五次元了，我们只要等着一起扬升到第五次元就可以了。现在还努力什么呀，不用努力啦。外星人和高灵存有们都帮我们搞好啦。新地球都已经形成了，时候到了我们都能一起搬过去了。
33. 有神通就是依赖神通，这个催眠策略是什么？,33. 很多所谓的大师就是依赖神通，整天又是出体，又是灵视的，只会通过卖弄神通来吸引人，让人入幻更深。
34. 偷换概念，这个催眠策略是什么？,34. 你分享修行经验，他就说你描述灵视过程就是炫耀神通，依赖神通；你说分享某个修行前辈的经验，他就说你搞个人崇拜，是外求；“物质是不灭的，苹果是物质，所以苹果是不灭的”；“得道者是证悟世界真相的，所以他们什么都知道，连你家的银行卡密码都知道”。
35. 集体意识很“可怕”，这个催眠策略是什么？,35. 集体意识很可怕，会让你丧失自己的个性，被牵着鼻子走的；人就是要保持个性，所以不要加入集体意识，随便合一集体意识。
36. “人身难得”，这个催眠策略是什么？,36. 在高次元世界，一切都是意识产生的，心想事成，得到想要的东西太容易了，修炼精进会非常缓慢；所以，赶快来三维地球修行吧，地球苦难多，精进快，来地球等着修行的灵魂都排到冥王星了，最近有几个体验名额，要不要赶紧报名呀？今天是最后一天，明天就没有了～
37.断章取义，这个催眠策略是什么？,37. 把一些经典文章或谈话的内容，孤立地取出其中一段或一句话，解释为该文章或谈话要表达的真正意思，从而与原意不符。【举例】某某得道者说过这句话，某某修 行经典写过那几个字！他们说的写的肯定 是对的，所以这么做肯定没错！
38. 天不怕地不怕，轮回也不怕，这个催眠策略是什么？,38. 针对一些有叛逆意识、天不怕地不怕的人（这在还没有完全破幻之前，既是优点，也是一个潜在漏洞）催眠他们既然什么都不怕，那么就连轮回也没有什么可怕的。【举例】一些人修炼一段时间，达到某种 烦恼较少的状态后，感觉修行动力变弱， 觉醒的意愿也不强了，觉得开心就好，顺 其自然，轮回就轮回呗，没有什么好怕 的。
39. 引导追求“顿悟”，这个催眠策略是什么？,39. 宣传无需渐修，可以靠放下而“顿悟”，让人产生投机取巧的心理，削弱觉醒意愿和行动力。【举例】各大宗教的“顿悟”案例
40. 强调“命功成就”，这个催眠策略是什么？,40. 宣传所谓觉醒、合一本源等成就不究竟，只有达到肉身羽化飞升、虹化才是最高境界，像佛陀、耶稣这样的都不是最高境界。【举例】很多“大师”的言论
41.强调“高频”，回避“低频”，这个催眠策略是什么？,41. 我们要保持在“高频”，远离“低频”，远离“低频”的人和事，不要让他们靠近；我们就是要永远保持在“高频”状态。【举例】很多永远强调“高频” ，刻意远离 “低频”的灵性指导
42. 灵性评判系统，这个催眠策略是什么？,42. 用传统的灵性标准去衡量别人、评判别人、绑架别人，和社会洗脑体系是一体的，这个体系会不断更新一部分的标准来继续束缚人类。【举例】得道者绝不会说自己得道，说自己得道的都是骗人的；得道者必须守戒律， 必须普度众生，必须会神通，必须高大 上，必须 ；要真正得道必须要 师承，必须走传统礼仪，自学是不可能得 道；
43. 传统习俗、社会宣传、舆论导向，这个催眠策略是什么？,43. 思维僵化的经典思路——“大家都是这样的，没什么奇怪的”，“固定=安心”的洗脑意识和社会洗脑系统也是配套的，和宗教系统也配套。外部洗脑式宣传会不断强化这些模式。【举例】传宗接代，养儿防老；数百年留 下来的习俗应该人人遵守；人必须劳动和 工作，社会必须不断发展；劳动光荣，享 受可耻；百行孝为先，必须要听父母的 话，即使他们是错的；
44. 摧毁（绊倒）只是一瞬间，这个催眠策略是什么？,44. “摧毁只是一瞬间”，利用了心轮的漏洞，也是人类最大的漏洞；心轮是情绪中心，情绪的力量让人失去理智；情绪的特点就是不稳定，情绪化是对自身漏洞的放大和进一步主观扭曲。即使意识 强度 8也一样难逃被瞬间摧毁。 【举例】针对团队，造成队友之间被离 间，互相排斥，那些在觉醒道路上被绊 倒的同学，都是因为“情绪”而被“瞬间摧 毁” ，为什么过去一万年以来，破 9的成 功率只有2500万分之1呢？0.000004% 的成功率，99.999996%的失败率，为什 么？为什么催眠系统成员都把情绪体封 闭起来，只使用理性体？为什么“小灰人” 身体玩具比较受欢迎？
45. 爱就是要善良，这个催眠策略是什么？,45. 充满正面的能量，善良的，美好的力量就是“爱”。爱就是要善良，就是要符合道德要求。
46. 脱离轮回的意愿=“执念”?，这个催眠策略是什么？,46. 任何事想多了都是执念，比如一心想着脱离轮回也是执念，也要放下，不要有这么强的意愿，这就是执念。
47. “人无远虑，必有近忧”，这个催眠策略是什么？,47. “你永远都要为未来打算，不要满足于现状，只要你停止脚步，必然会有麻烦等着你”——这是此话的表面含义，但从更深的含义来说，“远”代表未来，从时间上来说，明天的明天，永远都会有“明天”的存在，那么潜意识就会解读为“永无止境”，结合后面那句“必有近忧”，“忧”代表着恐惧，最终就会解读为“永无止境的恐惧”。所以说当你的表意识 接收了这句原话，并深信不疑的时候， 那么你的潜意识就默认了此话的最终解 读，这个不可战胜的“恐惧”就开始在你的 潜意识里面落地生根。
48. 最重要的幻相：“时间”，这个催眠策略是什么？,48. 地球体验一辈子，灵界才过了了几天而已，几天换几十年的体验，把前世的遗憾都补回来，是非常值得的！“过去”与“未来”，陷入“过去”的遗憾中，彷徨在“未来”的纠结中。
49. “捧杀”策略，这个催眠策略是什么？,49. 通过不断的捧高你，结合实际地赞美你，夸你，让你自我感觉良好，没有保持觉察、警惕，慢慢偏离客观、真实，重入幻相。【举例】你是最好的，人类最爱你，全 人类在等待你的解救和爱（快投胎来地 球帮忙他们吧）！ 你是神!你是光!你是救世主！你需要解救 众生！ 你真是不辞辛苦地指导大家，体现了你的 大爱包容之心，体现道的精神！
50. “得道者”无所不能，这个催眠策略是什么？,50. 给“得道者”下各种主观定义，让人找不到真正的得道者。让人认为得道是高不可攀、遥不可及的事情，让人坚信自己很弱，只能种点善根慧根坐等得道者成佛者前来救度。【举例】告诉大家： 得道成佛是需要百千万轮回才行的， 需要经历百千万劫，今生修行肯定得 不了道，成不了佛，最多种个善根， 修个善缘，消点业障，培育慧根福田。 等待来世、来来世、来来来世 或者 等到未来弥勒佛降世救度才行； 真正得道者无所不能，无所不知，真 正得道者全知全能； 真正得道者不会有任何情绪； 真正得道的人，往这里一坐，往那里 一站，自然就起到度众生的作用。他 们不但在这个世界救度众生，还会在 十方三界救度一切众生。
51. “得道者”是道德楷模，这个催眠策略是什么？,51. 用各种各样“得道者”的定义歪曲事实，让人找不到成道的正确方向，或者强调次要因素，隐藏主要因素，突出虚假的“重点”，潜移默化的把修行者带歪。【举例】 得道者都是道德楷模，面慈心软，从 来不说硬话； 得道者从来不吃肉，一直都是素食者； 得道者都是舍己为人的，一直想着教 导别人，从来不为自己考虑；
52. 逃避“负面”信息，这个催眠策略是什么？,52. 针对所有人喜欢“好消息”，厌恶“坏消息”的特点，报喜不报忧，并引导人们相信，所有的“负面”信息都是虚假的，不存在的，都是“幻”；相信“负面”信息就是“入幻”。导致很多人对“负面”信息 抵 触、回避，不接受，不验证，脱离了客 观性 【举例】1.T组是不存在的，T组也是我 们的心魔、幻相，修心，也是要破这个 幻。 2.T组实际上并不存在，是某人创造出来 的，用来考验我们的破幻能力，修心水 平； 3.讲“负面”信息就是二元，讲“二元”的人 本身就是“二元”的
53. 破坏团结，制造“二元”分离，这个催眠策略是什么？,53. 通过宣扬极端民族主义，社会阶层矛盾在人类内部进行区隔、分离、“标签化”。破坏人类内部团结，“分而治之”，人为地制造，辩论、问题、冲突等等。让所涉及的人群，陷入彼此对 抗中，方便操纵他们特定的行为和结果。 【举例】网络各种有煽动性的言论，突出 和强化各种人类内部矛盾
54. 墨守成规，这个催眠策略是什么？,54. 古人走过的路一定要遵守，一定不要随便更改；古人传下来的方法是最可靠的，一定不要轻易尝试新方法；古人都没有用过的方法，怎么可能有效？【举例】通过集体灵来带动个体的提升，古人都没有用过这种方法，怎么可能有效?
"55. 以""顺其自然""作惰性的借口，这个催眠策略是什么？",55. 大道自然，别想着这辈子就得道，都是游戏，因上努力，果上随缘，玩呗，“顺其自然”才是最好的生活态度。世上几人能得道？何必强求得道， 不如顺其自然，多想想如何使身体健康， 如何改善生活，让生活更幸福来得实际。再 进一步，能出体神游太空，也是完美了。
56. 【宗教催眠】之植入虚假观念，这个催眠策略是什么？,56. 植入各种虚假观念，被催眠者头脑里都是被植入的各种让自己恐惧的观念。【举例】自杀有罪，自杀的无法再投胎成 人；诽谤佛、菩萨要下地狱；上帝知道人 在想什么，想到诋毁上帝的念头， 要被 审判，惩罚；
"57. 【宗教催眠】之""原罪""，这个催眠策略是什么？","57. 人生来就是有罪、邪恶的，要通过不断的忏悔、念诵、还有净化方法，慢慢消除罪业。【举例】人生来就会吃奶、食物竞争， 还有攻击性，这些都是天生的""恶性"" ，要 加以改正。"
58. 【宗教催眠】之限制性概念，这个催眠策略是什么？,58. 修行就是修限制，就是要持各种戒律，而且很多戒律是要到一定水平才能持，一般人都没有资格持。【举例】很多宗教的戒律多达上百条，如果终身一直持戒的话自然就能得道
59. 【宗教催眠】之念经解脱，这个催眠策略是什么？,59. 修行很简单，只念经就行，念够几万遍自然得道，就这么简单。
"60. ""业力""的误导，这个催眠策略是什么？",60. 业力就是“恶有恶报”，做了坏事就等着下地狱受苦，来世做畜牲，或者被遇害者报复。
61. 内求=独修，这个催眠策略是什么？,61. 修行是每个人个人的事，不是说要内求吗，就是独自一个人默默修行就是，干嘛要交流啊，干嘛要共修啊，还有合一集体灵啥的，浪费时间。
62. 越专注于反 xx，xx则越强大，这个催眠策略是什么？,62. 越专注于反xx，xx则越强大。或者说反xx本身就是一种xx。【举例】越专注于反阿 T、反催眠，阿T 就越强大，反催眠本身就是一种催眠。
"63. ""天机不可泄露""，这个催眠策略是什么？",63. 天机不可泄露，如果泄天机，就会遭报应，遭天谴。
64. 宣传内斗信息，这个催眠策略是什么？,64. 通过媒体、互联网宣传人类集体内斗的信息，激起人类的情绪，参与进去了，就会煽动和制造更多集体对立的情绪，削弱集体意识凝聚力，降低集体意识强度。
65.现实是残酷的，这个催眠策略是什么？,65. 现实是残酷的，痛苦的，与其这样，还不如活在幸福的虚幻中，好好享受，活在现实中有什么必要。
66. 完美主义，这个催眠策略是什么？,66. 某事没有做好，一定要再去做到所谓完美才可以；大家都结婚了假如你没有结过就觉得自己不好不完美；比如有洁癖或是东西一定要怎么样顺序摆放之类的强迫症相关特征。
67. 引导群友间猜疑，这个催眠策略是什么？,67. 利用群友间认知意识层次不齐的状态，然后对症下药，让大家彼此怀疑，猜测，甚至窝里斗。
68. 灵肉合一，这个催眠策略是什么？,68. 修行就是要灵肉合一，这样才能究竟；单纯修灵体，灵体无法与肉体整合在一起，做不到灵肉合一就是不完整的，不达标的。
69. 修行就要节约能源，这个催眠策略是什么？,69. 能量是有限的，修行最基本原则，所有生命的基本纲领，就是节约能量。
70. 阶层高低，这个催眠策略是什么？,"70. 通过大量集体意识的认可、认同，强化某些个体的优越、特殊和正义感。产生社会、人与人之间有高低之分的意识。【举例】网络上大量的人赞美、 ""追捧"" 或肯定某个个体(名人、慈善家、上师等 等)；甚至现在“意识强度”的高低，也被 人投射到阶层高低上；"
71.“爱”与道德规范，这个催眠策略是什么？,71. 你要爱上帝，爱父母，爱姐妹，爱妻子，爱组织，你应该爱所有的东西。你应该孝顺父母、关爱兄弟姐妹、爱你的伴侣，尊敬领导和长辈，热爱你的工作，关心同事，照顾老幼病残等等。
72. 寻找双生火焰、双生灵魂，这个催眠策略是什么？,72. 对于缺爱、又渴望灵魂之爱的人，告诉他们，你的灵魂缺一半，需要寻找到你缺失的另一半才能完整，并大肆宣传双生灵魂的爱情如何之浪漫、难得，不遇双生不出轮回。引导人们向外寻求爱、以为完美的爱来自另一半灵魂而不愿内求自爱。
73. 引导崇拜“唯一的神”，这个催眠策略是什么？,73. 引导人们崇拜“唯一的神”，而忘记每个人都有平等的神性。【举例】宣扬只有“唯一的神”才是圣洁的、 无所不能的，人们都是有罪的，人必须依 赖信靠“唯一的神”才能得救
74. 我们是有限的，弱小的，这个催眠策略是什么？,74. 进入肉体后与本源之间就被屏蔽了，被屏蔽后就进入幻相中，人类没有这样的意志力突破幻相的。
75. 倾向“二元”的传导信息，这个催眠策略是什么？,75. 传导的信息内容是真的，但是心态却是二元对抗心态，是当真心态，信息中有引导对抗的二元性。【举例】我们被负面外星人控制了，他们 很坏，一直残酷的压迫我们，我们生活的 很痛苦，我们一定要奋起反抗，拼死抗争
76. 引导负能量宣传，这个催眠策略是什么？,76. 负能量使用最巧妙的手段是定义自己是负面的，需要人们去针对，去排斥，甚至去害怕。从而让人们轻易上当，入幻，降低意识强度和辨识能力，自动加入为负面能量宣传的队伍，让更多人入幻。降低人类集体意识强度。从而控制人类。
77. 细化的幻相，这个催眠策略是什么？,"77. 通过结合个体的实际情况，反复放大该个体无数细化的幻相、二元幻相，使其产生意识分裂、冲突和混乱，并且根据其陷入幻相状态的实际情况，继续增加更多的二元幻相，形成""恶性""循环。直到越来越限制，高度限制。目的：阻碍该个体提升振动频率/意识强度，增加觉醒的难度。【举例】有些人会在一些琐碎的小事， 产生强烈的恐惧和焦虑。"
78. 修行困难感，这个催眠策略是什么？,"78. 当你冥想或通过其他实用""方法""在提高/拓宽意识频率、提高意识强度时，会产生""很困难""的错觉，进而阻碍你继续提升；或者降低提升效率，修行变得进步缓慢。"
79. 快乐的倾向，这个催眠策略是什么？,79. 持续放大个体的快乐倾向，使其追求外在的快乐，自我膨胀，忘乎所以，转移注意力，忘记内求。【举例】攀比心理 我比别人懂得更多， 我比别人更有成就 我比别人更好等等
80. 痛苦的倾向，这个催眠策略是什么？,80. 放大个体的痛苦倾向，阻碍其内求，不断增加内求的难度，使其越来越分裂和痛苦，直到放弃内求。
81. 恐惧，这个催眠策略是什么？,81. 放大内心各种各样的恐惧，迫使其去做自己不喜欢的事情，违背自己的意志。阻碍该个体全身心投入到自己真正关心、最热爱的事情上。
82. 诱惑，这个催眠策略是什么？,82. 根据个体内心的空虚焦虑等漏洞放大对应的诱惑，使其沉溺于对自己有害的事物上例如吸烟酗酒沉溺于感官刺激的娱乐消遣音乐bao力游戏等等。
83. “圣人”降世，这个催眠策略是什么？,83. 宣传不久就会有圣人降世，带领大家脱离苦海，而且很多佛经和圣经等经典都预言了他的到来。
84. 挑拨人类内斗，这个催眠策略是什么？,84. 宣传怀孕的孕妇或者生命都是灵魂捕获器，会建立强制的链接吸引捕获灵魂，一旦链接就很难脱离胎儿。
85.偏离客观性，这个催眠策略是什么？,85. 看到自己所认同和崇拜的对象做了什么行为，便认同那个做法和行为是正确的，从而放松警觉，没有加以辩别，也做了相似的事情，偏离客观，增加幻相。
86. 过去的记忆，这个催眠策略是什么？,86. 通过放大、主观扭曲某些个体过去某一段或几段记忆，使其产生对应的情绪，并且在该情绪下去行动和做事，从而使团队、朋友之间产生冲突和分裂。
87. “自私”，这个催眠策略是什么？,87. 你追求自由，就说你没有责任感，没有担当，只考虑自己，非常自私；你想做自己，就说你不顾及其他人，辜负了其他人的期望，很自私。
88. 激将法，这个催眠策略是什么？,88. 轮回是勇敢者的游戏，认怂就别来。
89.“正法”传播者，这个催眠策略是什么？,89. 世间的大师都是邪师，只有**才是正法的传播者，大家一定要认准正牌，别跟随其他邪师，而且要反对其他邪师，号召大家一起拥护正法。
90. 资源诱惑引导外求，这个催眠策略是什么？,90. 利用资源的稀缺性引导处境困难的人外求，然后逐步诱惑，等到你越陷越深别无选择时，再得寸进尺，变本加厉，逼你就范。【举例】弱 T（催眠诱骗意识体，程序体）打扮的 很友善，告诉你说，沙漠里有一种水价比 金贵，并且味道特别甜美，表示可以带你 去寻找，然后你跟着去了。走了很远，很 渴，连普通喝的水都没找到，然后弱 t 告 诉你说，你不用找，你找不到水的，水都 在我这，然后拿出早已经准备好的水，告 诉你说，把你的全部财产给我，并且做我 一辈子奴隶，这水就是你的了。你破口大 骂他欺骗了你，然后弱 t 说，我没有骗你 呀， 你看我带你找到了价比金贵的水，至 于味道，你喝喝看就知道了啊！你快渴死 了， 难道这对你来说不是世界上最好喝最 香甜的水吗？你别无选择只能自愿交易， 最后弱 t 对你说，与我互动，是你选择的， 跟我来沙漠，是你同意的，交易也是你自 愿的，都是你同意了的。你其实可以随时 选择相信你自己的能力，但是你选择相信 了我。快点喝，喝完跟我走，大堆的活你做呢。
91.完美者才能得道，这个催眠策略是什么？,91. 要想得道，必须所有的方面都要完美，所有的情绪都不能有，所有的行为都符合标准，所有的问题都已经彻底解决。【举例】我还有很多问题没有解决，很多 情绪还会有，必须把所有的问题和情绪全 部彻底克服才能得道
92.末法邪说，这个催眠策略是什么？,92. “不符合宗教常识的灵性知识是末法邪说，不符合宗教圣人行为的觉醒者、得道者，他们分享的经验、知识和方法都是末法邪说”等等，对灵性知识贴各种标签和偏见，影响人对各种有利于觉醒的资料的看法。
93. 我正他邪，这个催眠策略是什么？,93. 更倾向于看到别人“恶的”一面，更倾向于看到别人“坏的”“不好的”一面，更倾向于把自己想象成好的，善良的，把别人想象成“邪”的。
94. 假爱，这个催眠策略是什么？,94. 爱就是要做大善事，要付出贡献、牺牲自己。爱就是要帮助别人，牺牲自己。爱就是要负起责任，为别人负责。为集体负责。
95. 情绪化，这个催眠策略是什么？,95. 通过放大你身边人的愤怒情绪，去影响你，干扰你，迫使你与其互怼或者其他极端对立的行为，从而也同化、激起你的愤怒情绪，变得情绪化。增加情 绪惯性。放大你的幻相。
96. 迁怒，这个催眠策略是什么？,96. 当你心情不好，或者遇到烦心事时，让你想到某人，然后这种心情就会被引导与这个人产生关联，进而会迁怒到这个人身上，对这个人产生恨意，进而诱发内部矛盾。
97. 心智模块扭曲，这个催眠策略是什么？,97. 利用心智旧有的认知模式和惯性、偏好、行为倾向，比如追求完美、正确，想要控制、想要安全等等，进行对应的催眠暗示，放大对应的漏洞，使其心智的模块之间产生极大的冲突、对抗力，甚至变得扭曲。目的：阻碍该个体提高意识强度，增加干扰、增加难度
98. 某些真话的组合=谎言，这个催眠策略是什么？,98. 谎言的最高境界是什么，就是你说的每一句都是真话，可是组合一起就是一个巨大的谎言。【举例】在长达 84 年 20 届世界杯的历史上，仅有三支国家队战胜过中国国家队， 分别是巴西、土耳其、哥斯达黎加，即使是巴西这样的世界强队也仅战胜过中国队一次。而中国队从未在世界杯点球大战中失利过，从来没有一支球队能够在世界杯上击败过中国队两次。
99. 固定模式，这个催眠策略是什么？,"99. 有一些修行的人修炼久了，有可能会形成一个或一些固定模式，一直修炼某些方面的东西，没有突破创新。慢慢的会被T组抓住漏洞，找到最有效的干扰、催眠放大“攻击”的方案。催眠干扰、 ""攻击""的方式有可能也会越来越深入，甚 至形成一个固定模式。并且由此衍生出更 多的限制模式。"
100. 变换漏洞、幻相和阻碍，这个催眠策略是什么？,100. 有时候一个个体对自身的某个潜意识漏洞，大的漏洞，更有觉知，深入的去洞察它，T组有可能就会变换干扰、阻碍，放大这个个体其他的幻相、漏洞，覆盖、屏蔽他深入去洞察的“漏洞”。增加深度觉察的阻碍。同时转移其注意力。
101. 信念系统的冲突，这个催眠策略是什么？,101. 当新的世界观、信念系统与旧的信念系统，截然不同，甚至矛盾、相反，可能会产生信念的冲突、冲击，失去力量感和快乐的方向。心智程序会企图抓住某个信念系统，试图从逻辑上找到答案。找到对错。但是逻辑永远无法代替觉察。从而逻辑又变成一个束缚。形成恶性循环。
102. 头脑的计划，这个催眠策略是什么？,102. 头脑基于单一线性时间思维，一直在计划、预设着未来所有事情。甚至连什么时候“开悟”、“头脑什么时候能够停止计划”，头脑也一直在计划着。而头脑的计划和努力，本身就是一种精神奴隶和限制。
103.假修行，这个催眠策略是什么？,103. 修行就是要自律，修行人就是完美的道德主义者，修行就是才貌双全。修行就是慈善家，修行就是有钱人，成功人士，修行就是情商高，修行人就是要会双盘腿打坐等等。
