问题,答案
劳作认可程度高在生活中的表现,比较典型的如：因拆迁出现了一批暴富户，但仍然坚持开豪车上班的公交车司机、 公园售票员等，这种情况很多人都表示认可和赞扬，反而自由职业，旅游沙发客、探险爱好者通常 都不被认同，通常被认为闲的蛋疼，无所事事，游手好闲等，社会言论这方面的倾向性和带节奏都 非常明显。 很多人都有工作至上的倾向，很多一线城市的人天天诉苦生活所逼，压力山大，其实 把房子卖了，换到低消费的小城市居住，不工作也能过得很滋润。 补充：表现劳作认可程度高：从种瓜得瓜，延伸到工作使我快乐，最终变成：工作=快乐=工作
什么是陌生人敌视程度 vs 陌生人友好程度,未进行任何了解和接触前的下意识反应，并非针对某个人，而是陌生人这个群体。源于人类被程序 设定成具有二元竞争意识的种族。陌生人会被认为是会与自己争抢食物和地盘的潜在对手，在深层 面是有敌视性。
陌生人敌视程度 vs 陌生人友好程度大部分人类的量化数据,人类大部分在 80%以上，几乎人人都有防卫心。属于是类似下意识的程序化反应，在还没 有与对方开始接触的时候，就已经产生的敌视感。
什么是性观念绑架度 vs 性观念自由度,心智模式会创造各种程序观念，以此束缚人类，让性本性难以自由发挥。性观念越保守的人，内在 性欲就越强烈。越保守的地区，内在反抗也越强烈。
性观念绑架度 vs 性观念自由度大部分人类的量化数据,人类大部分：根据地区不同也不一样，美国 30-40%左右，荷兰 30%左右，一些保守地区 70-80%（反值）
什么是自我不满程度 vs 自我接纳程度,人类被设定为对自己不满意，投射到对周遭和世界不满意，以此产生改造世界的动力。对自己不满 意产生自卑心，对他人不满意产生控制心，对世界不满意产生欲望心。心智系统有一套完美的标准 程序，对照自己，发现自己永远达不到。因为个体无法看清自己是什么样子，就会相信心智所讲的 你是什么样子，那么你永远都不可能达到完美的标准。
自我不满程度 vs 自我接纳程度大部分人类的量化数据,人类大部分在 80-90%（反值）
什么是心智翻译扭曲度 vs 沟通理解还原度,沟通中对方要表达的真实含义，需要通过个体的心智模式才能被个体所理解。心智模式不同，造成理解力不同，很多意思会被歪曲理解。用心智去沟通，会很难看到对方的真正本意。你所听到的，不是对方真讲给你的，而是你的心智翻译给你的，是你的心智告诉你的。所以基本很难达成有效沟通。如果一个人主观太多，也就是心障和偏见很多，那么很难客观的听到对方在说什么。如果你发现你听不懂一个人在说什么，那么反而是好事，因为你的心智无法给你翻译，超过了它的词库和程序了。
心智翻译扭曲度 vs 沟通理解还原度大部分人类量化数值是多少,人类大部分：70-80%（反值），普遍还是习惯用头脑心智去与人沟通。理解差异程度在60%以上。只要用头脑去沟通，理解力都比较低。心智模式就像没有什么智商的样子。就好像是说，它本身就不具备理解力，是靠那些程序生搬硬靠的。属于机械算法，机器听音。所以，经验丰富的人，见多识广的人，理解力就会显得高一点。因为是基于实际经验，而不是机械算法、理论推理等虚拟程序。
什么是抗拒死亡程度（求生度）vs 死亡接纳程度,机器人的心智模式会告诉你，不能死，一定要活着，好死不如赖活着。因为身体死了，心智系统也没有了，心智不能让自己消失。所以不能告诉你：你还有灵魂，灵魂不死。心智系统自己不想“死”。心智会编出一堆理由让你不想死，不能放下这个、不能放下那个，死了就什么都没有了，让你产生死亡恐惧。灵魂不怕死，怕死的是心智（机器人的心智程序）。这个好像和对别人的死亡态度是一样的，就是怕亲人死=怕自己死。无法接受亲人离世=无法接受自己离世。
抗拒死亡程度（求生度）vs 死亡接纳程度大部分人类的量化数据,人类大部分：80-90%（反值）。
什么是性别偏见程度 vs 性别平等程度,不同时期有不同的性别观念，男权或女权，长期难以平衡。也是人类原始程序设定，不停的在对性别有各种评判，不同时期的评判不同。不是男权就是女权，较难平衡。包括同性恋的接纳度，也是和性别有关。
性别偏见程度 vs 性别平等程度大部分人类的量化数据,人类大部分在 60-90%（反值），地区不同开放程度也不同。社会更加包容开放的，偏见就会少一点。很多同性恋本身对性别的偏见反而更高。原始设定的程序，灵体手术不太好修改。一是需要很高权限和技术，二是一般好像也不这么改。母系社会的人，是属于特定时期的实验
什么是他人比较程度 vs 自我比较程度,也是人类原始特性（原始程序）。天性就要跟人比，产生攀比心、竞争心、好斗心，促进社会发展。由此也产生一系列的优势感和歧视观念。任何东西都可以让人类玩成“我强他弱”、“我好他坏”、“我对他错”、“我正他邪”。心智强行制造比较，把很多不可比的东西拿出来比，产生了很多标准。仔细观察就会发现，很多比较莫名其妙，根本毫无联系。这个比较，与二元对立有很大关系。很多对立，都是从比较发展出去的意识程序
他人比较程度vs自我比较程度大部分人类的量化数据,人类平均：90%左右（反值）
自动化程度vs自主化程度（自由意识），也是复合体结构中，灵与体的什么比率,灵与体的“抗性比率”，或“控制比率”。
自动化程度vs自主化程度（自由意识）这个检测点中，自动化等于什么,自动化=AI机器程序
自动化程度vs自主化程度（自由意识）这个检测点中，自主化等于什么,自主化=自由意识（freewill）。
自动化程度高的人又可以叫做什么人,机器人
自主化程度高的人又可以叫做什么人,自由人
每个人的心智程序比重不一样，比重越高，自动化程度是高还是低，自主化程度是高还是低,心智程序比重越高，自动化程度越高，自主化程度越低。
量化数据反值40-60%相当于正值多少,相当于：正值的60-40%
自动化（机器人）程度，人类最高有多少,最高有80%，但是极少数，即80%自动化（机器人）程度，20%自主（自由人）程度。
反应固化程度高vs反应变通程度高，又可以叫什么,机器人vs自由人
解释一下反应固化程度vs反应变通程度的量化数据：人类大部分：60-80%（反值）,相当于：正值的40-20%。 即60-80%“机器人固化程度”vs相对于20-40%“自由人变通程度”。
向外归责和向内反思又可以叫什么,向外归因和向内归因
非常专注的做一件事情，比如精细手工艺或者精微手术什么的，意识分散程度的量化数据需要至少多少以下,需要至少20%以下。
如果强制控制自己去专注，会产生疲劳吗,会
关于练习专注，怎么做会起到静心的效果。,如果沉浸在宁静的感觉中，会起到静心的效果。
思维僵化程度vs思维自由程度指什么,指心智思维占个人思维的比重。比重越高思维越僵化，比重越低思维越自由。
心智思维大部分是什么样的程序,多是机械、固化、盲目的程序。
心智思维大部分来自哪里,多来自于传统习俗、社会宣传、舆论导向等。
心智思维也属于什么,也属于信念系统。
心智思维的一些典型程序举例,典型程序是：这个想法很正常吧，大家不都是这样吗。
“固定=安心”等洗脑意识和社会洗脑系统也是配套的程序，和宗教系统也配套。外部洗脑式宣传会不断强化那些模式、程序。比如什么,如：物欲主义，也是在T组的引导下创造的，T组给了他们很多灵感。巨大的虚假世界观都站在一个巨大的显而易见的盲区上面。如：理论，是假设套假设的程序，把自己套进去。一些真相，程序不想让你看到，你就看不到、视而不见。还有几个是人类原始基础设定程序。
固定=安心是洗脑意识吗,是的
评价一下物欲主义,物欲主义，也是在T组的引导下创造的，T组给了他们很多灵感。巨大的虚假世界观都站在一个巨大的显而易见的盲区上面。
对理论的看法,理论，是假设套假设的程序，把自己套进去。一些真相，程序不想让你看到，你就看不到、视而不见。
觉得人必须劳动和工作，社会必须不断发展。劳动光荣，享受可耻。这种人的劳作认可程度是高还是低,劳作认可程度高
觉得不劳作，就没有安全感、就等于没有责任感，这种人的享受认可程度是高还是低,享受认可程度低
未进行任何了解和接触前的下意识反应，去敌视陌生人，并非针对某个人，而是陌生人这个群体。这个源于什么呢,源于人类被程序设定成具有二元竞争意识的种族。陌生人会被认为是会与自己争抢食物和地盘的潜在对手，在深层面是有敌视性。
在还没有与对方开始接触的时候，就已经产生的敌视感。这种属于是什么反应,属于是类似下意识的程序化反应
如何让性本性难以自由发挥,心智模式去创造各种程序观念，以此束缚人类，让性本性难以自由发挥
性观念越保守的人，内在性欲是强是弱,内在性欲就越强烈
性观念越保守的地区，内在反抗也越强烈。对吗,对
性观念绑架度vs性观念自由度这个检测点，人类的量化数据，地区不同会有所不同吗,量化数据，人类大部分：根据地区不同也不一样，美国30-40%左右，荷兰30%左右，一些保守地区70-80%（反值）。
为什么说心智系统有一套完美的标准程序，对照自己，发现自己永远达不到。,因为如果个体无法看清自己是什么样子，就会相信心智所讲的你是什么样子，那么你永远都不可能达到完美的标准。
对自己不满意产生什么心，对他人不满意产生什么心，对世界不满意产生什么心。,对自己不满意产生自卑心，对他人不满意产生控制心，对世界不满意产生欲望心。
解释一下心智翻译扭曲度,沟通中对方要表达的真实含义，需要通过个体的心智模式才能被个体所理解。心智模式不同，造成理解力不同，很多意思会被歪曲理解。用心智去沟通，会很难看到对方的真正本意。你所听到的，不是对方真讲给你的，而是你的心智翻译给你的，是你的心智告诉你的。所以基本很难达成有效沟通。如果一个人主观太多，也就是心障和偏见很多，那么很难客观的听到对方在说什么。如果你发现你听不懂一个人在说什么，那么反而是好事，因为你的心智无法给你翻译，超过了它的词库和程序了。
解释一下心智翻译扭曲度的量化数据，人类大部分：70-80%,普遍还是习惯用头脑心智去与人沟通。 理解差异程度在60%以上。只要用头脑去沟通，理解力都比较低。 心智模式就像没有什么智商的样子。 就好像是说，它本身就不具备理解力，是靠那些程序生搬硬靠的。 属于机械算法，机器听音。 所以，经验丰富的人，见多识广的人，理解力就会显得高一点。因为是基于实际经验，而不是机械算法、理论推理等虚拟程序。
为什么有的人和人之间很难达成有效沟通,因为你所听到的，不是对方真讲给你的，而是你的心智翻译给你的，是你的心智告诉你的。用心智去沟通，会很难看到对方的真正本意。心智模式不同，造成理解力不同，很多意思会被歪曲理解。所以基本很难达成有效沟通。
如果你发现你听不懂一个人在说什么，那么反而是好事，为什么,因为你的心智无法给你翻译，超过了它的词库和程序了。
只要用头脑去沟通，理解力都比较高吗,不对，只要用头脑去沟通，理解力都比较低
为什么经验丰富的人，见多识广的人，理解力就会显得高一点,因为是基于实际经验，而不是机械算法、理论推理等虚拟程序。
心智系统自己不想“死”，不想让自己消失，它会跟你说什么,机器人的心智模式会告诉你，不能死，一定要活着，好死不如赖活着。心智会编出一堆理由让你不想死，不能放下这个、不能放下那个，死了就什么都没有了，让你产生死亡恐惧。不能告诉你：你还有灵魂，灵魂不死。
灵魂怕死吗,灵魂不怕死，怕死的是心智（机器人的心智程序）。
怕亲人死=怕自己死。无法接受亲人离世=无法接受自己离世。这种人的抗拒死亡程度高吗,抗拒死亡程度（求生度）比较高
性别偏见是人类原始程序设定吗,是人类原始程序设定，不停的在对性别有各种评判，不同时期的评判不同。不是男权就是女权，较难平衡。
同性恋的接纳度和性别偏见程度vs性别平等程度有关吗,有关
母系社会的人，是属于特定时期的实验。,对
社会更加包容开放的，对性别偏见就会多一点，对吗,不对，社会更加包容开放的，偏见就会少一点
他人比较也是也是人类原始特性（原始程序）吗,是的
他人比较与什么有很大关系,与二元对立有很大关系。
第一区有多少检测点,13个
1区有哪些检测点,1、自动化程度vs人自主程度 2、反应固化程度vs反应变通程度 3、向外归责程度vs向内反思程度 4、意识分散程度vs意识专注程度 5、思维僵化程度vs思维自由程度 6、劳作认可程度vs享受认可程度 7、陌生人敌视程度vs陌生人友好程度 8、性观念绑架度vs性观念自由度 9、自我不满程度vs自我接纳程度 10、心智翻译扭曲度vs沟通理解还原度 11、抗拒死亡程度（求生度）vs死亡接纳程度 12、性别偏见程度vs性别平等程度 13、他人比较程度vs自我比较程度
1区是什么区,中央区：心智控制区
1区的13个检测点都和什么有关,和心智控制有关
