问题,答案
图像采集部分中，视觉画面受主观信念影响的程度这个检测点是什么意思？,6.视觉画面受主观信念影响的程度： 个体所看到的画面，会因为个体的信念系统的不同认知，而受到的主观影响。
视觉传输的部分中，对非重点关注成像的上传比例指什么,1.对非重点关注成像的上传比例： 个体对看到景象的不太关注部分，在脑海里会有一个大概的印象，这种印象会有不同的处理方式，能收集到多少信息进行上传，每个人的比例也是不一样的。
视觉传输的部分中，对非重点关注成像的上传真实度指什么,2.对非重点关注成像的上传真实度： 个体对非重点关注的部分，上传中会有一些主观上的变形，所以要检测个体上传的真实度有多少。
视觉传输的部分中，图像向上传输的损耗度指什么,3.图像向上传输的损耗度： 个体在传输图像过程中，每向上传输一层，都会有一些变化和失真的情况，这个传输损耗度有个体差异。
视觉传输的部分里边，传送中被外力篡改的比例指什么,4.传送中被外力篡改的比例： 个体在向上传送图像中，会受到一定程度的外力影响和篡改。 外力篡改，包括催眠波、催眠装置的影响，以及一些视觉、听觉的其它外力的影响。 比如：在观看视觉信息的时候，同时接收的听觉信息所带来的影响，以及相邻的视觉信息带来的交叉影响。 举例： 1）听觉的影响： 比如你看到一片森林，突然你听到一些鸟发出欢快的叫声，或者听到一些欢快的音乐，这时候给视觉图像带来的影响，就是森林的颜色会更加鲜明亮丽。 如果你听到一些阴森恐怖的音乐，森林的画面视觉就会变得暗淡一些。 2）相邻视觉影响：比如你低头看到一张恐怖的图片，然后抬头看森林，你的视角会有一种阴森恐怖的感觉（跟听到恐怖音乐效果是一样的）。
视觉回忆的部分中，情绪对视觉回忆的影响是指什么,1.情绪对视觉回忆的影响： 个体在不同的情绪下，对同样场景进行回忆时，画面所产生不同的失真度。
视觉回忆的部分中，思维认知对视觉回忆的影响是指什么,2.思维认知对视觉回忆的影响： 跟主观信念带来的影响是一个意思，个体在不同思维状态下，所回忆的图像也会收到不同影响。
视觉回忆的部分中，无意识图像所占的比例是指什么,3.无意识图像所占的比例： 个体在回忆画面的时候，会突然想起来被忽略的一些细节。
视觉回忆的部分中，由时间所带来的画面失真程度是指什么,4.由时间所带来的画面失真程度： 随着时间的流逝，个体关注的点会逐渐淡化，对主要关注的部分也会发生一些变形。 因此，记忆系统，包括灵体的记忆系统，都是处于变化中的，并不是一成不变的，是时刻都在流动的。 任何东西，当你回忆起来的时候，都会发生变化，而且处于一种不停在变的状态中。
声音采集部分中，声音关注点的数量是什么,1.声音关注点的数量： 当个体听到一段声波的时候，会根据自己的倾向，所关注的部分的数量比例。
声音采集部分中，听觉关注的重点倾向是什么,2.听觉关注的重点倾向： 当个体听到一段声波的时候，有一个最为关注的地方，这种倾向的程度是多少。
声音采集部分中，视觉信息对听觉信息带来的影响是什么,3.视觉信息对听觉信息带来的影响： 个体当前所接收的视觉信息，会对听到的声音识别，所产生的影响， 举例：如果视觉看到很欢快的画面，那么个体就很难听到或者不会听到一些不舒服的声音，包括一些普通的声音，也会转化成比这种较积极乐观的倾向。 声波说明：声波分为4个组成部分，分别是“波长、振幅、波形、畸变”。每个部分都会对传输的过程产生影响，对波的形态产生变化，不是一成不变的。
声音采集部分中，声波中被模糊处理的部分是什么,4.声波中被模糊处理的部分： 在听到的声音中，有些部分，会因为个体的大脑听不太懂，或者听不太清楚，最终被模糊处理。 有些个体能意识到，有些则意识不到，以为自己听清了或听懂了。
声音采集部分中，完全忽略的部分是什么,5.完全忽略的部分：个体完全没有听到的部分。 人体听觉机制，会有短暂的空白期，这个具有规律性，但个体的规律不太一样。 主要是在听一段之后，会自动停一下，在这段时间，声音就会听不到了。 这个，可以通过训练，来延缓暂停的频率。
声音采集部分中，信念系统所带来的听觉盲点的比例是什么,6.信念系统所带来的听觉盲点的比例： 个体相信什么，想听到什么，就会听到什么。 这个，是由个体的信念系统所选择的。
声音采集部分中，语言系统的转换所带来的失真影响是什么,7.语言系统的转换所带来的失真影响： 掌握不同语言类型的个体，对每种语言的识别，会产生不同的变化和影响。
声音采集部分中，个体主观意图的影响是什么,8.个体主观意图的影响： 个体当下的意图和目的，对声音识别有很大的影响。 不同的目的，所听到的信息也是不一样的。
声音传送部分中，信念系统的影响是指什么,1、信念系统的影响：   声波在传递过程中，受到的信念系统的影响，而发生的变化。
声音传送部分中，潜意识倾向的影响是指什么,2、潜意识倾向的影响： 声波在传递过程中，受到的潜意识倾向的影响，而发生的变化。
声音传送部分中，主观预设的影响是指什么,3、主观预设的影响： 声波在传递过程中，受到个体主观目的和预设的影响，而发生的变化。
听觉神经部分中，声音存储部分是什么意思,三、声音存储部分：声音的存储，较为特殊，需要转换形式进行存储。 转换会引起一定程度的变形，也会增加其他的元素，从而导致进一步的失真。
声音存储部分中，因为方式转换带来的失真程度指什么,1.因为方式转换带来的失真程度： 纯粹的由转换带来的失真率。
声音存储部分中，存储中带来的主观预设的因素指什么,2.存储中带来的主观预设的因素： 因为主观的原因，在存储中会添加一些主观的元素，导致进一步失真。
听觉神经部分中，声音回忆部分是什么意思,四、声音回忆部分：个体在回忆声音过程中，会受到不同因素的影响，而产生失真。
声音回忆部分中，情绪的影响是什么意思,1、情绪的影响： 在进行声音相关的回忆时，个体所处的主观情绪，会对声音记忆产生变形影响。
声音回忆部分中，受到时间流逝所带来的遗忘的影响是什么意思,2、受到时间流逝所带来的遗忘的影响： 由于时间的流逝，而带来的失真程度。 保留下来的，多为“残存的部分记忆+主观倾向”的组合。
声音回忆部分中，由新的不同的主观目的所带来的影响是什么意思,3、由新的不同的主观目的所带来的影响： 每次回忆，由于主观目的不同，回忆出的内容，都有不同倾向的变形。
6区中，植物神经部分是什么,植物神经是属于潜意识支配和控制的一套神经系统。 在这个过程中，负责潜意识的部分，会受到各种的干扰和影响。 主要有以下的影响因素。   有4小部分。 物质层面的影响。  外界刺激的影响。  区域与整体的影响。  与其它神经系统的关系。
植物神经部分中，物质层面的影响指什么,一、物质层面的影响：个体受到物质层面的影响比较大，可高达75%。
物质层面的影响中，兴奋与平静的相互作用是什么,1.兴奋与平静的相互作用：个体在接收信息的时候，在两种不同状态下，所接收信息的变形差异。
物质层面的影响中，流动与顺畅程度的影响是什么,2.流动与顺畅程度的影响 个体接收信息的流动程度和波动性，所带来的影响。
物质层面的影响中，交叉与渗透的影响是什么,3.交叉与渗透的影响 ：分为3层： 1-左旋感应； 2-右旋感应； 3-中央感应。 以上的三层感应，是双涡旋的增流机制的向上应用。产生相互交叉、相互渗透的影响。 这些影响会带来一系列的碰撞反应，这些反应会给机体带来一系列的化学变化，从而影响机体内部的运动过程。 这个也叫做左旋和右旋组成的双涡旋原理。
植物神经部分中，外界刺激的影响指什么,二、外界刺激的影响 是由内外信息粒子的同频共振，所引发的一系列的影响。
外界刺激的影响中，粒子的运动方向所带来的影响是什么意思,1、粒子的运动方向所带来的影响 同样方向的运动，会引发舒适的感受。 不同方向的运动，会带来不适感。 长期这种不同方向的运动，会带来机体功能的混乱，从而引发疾病。 不同方向的运动，包括直线方向和旋转方向。 直线方向，多数演变为急性的疾病。 旋转方向，多数引发慢性的疾病。 如果是多层旋转性的，层数越多，疾病就越复杂。
外界刺激的影响中，粒子的震动频率所带来的不同影响是什么意思,2、粒子的震动频率所带来的不同影响 影响会让个体产生急速的应激反应，这些反应会在日常生活中常常遇到。 一些疾病的类似症状，其实是这种短暂的应激反应。如果不仔细识别的话，很容易就以为自己生病了。 人在这种状态下，处于高速运转的状态。 这方面，也和人体潜能的激发，有一定的关系。 在实验中，可以模拟外部结构的震动频率，来引发机体内的同频共振，从而达到实验的效果。 比如：声音频率的影响，是其中的一种。这种影响，有很多可值得研究的地方。 举例：一些催眠性质的音乐，可以通过引起机体内部的运动，给个体带来错觉，给个体的判断也会带来混淆。 这个影响，也被广泛应用于催眠轮回系统*的社会洗脑中。 当个体遇到相应的场景，就会产生对应的机体内部反应，从而对这种倾向起到加强的作用。 这个，也是循环控制的一个过程。
外界刺激的影响中，由粒子聚集作用所产生的影响是什么意思,3、由粒子聚集作用所产生的影响 一些同频的信息粒子，因为相吸而聚集在一起，对机体可能会产生一些障碍性的影响。 这个影响分为隐性和显性。 隐性：就是长期潜伏在人体内的，没有发挥作用的。但这种情况会被系统记录下来，转化成隐形基因，可以在后代中得到表达。 显性：就是造成明显的机体性障碍，也是常说的能量堵塞。 因为可被聚集起来的信息粒子，通常活性较弱，所以通常表现为负性。 而正向性的信息粒子，因为活性较强，而不宜互相吸引聚集。 在实验研究中，聚集起来的负面粒子，可通过激光照射，而引发分离效应。 该方向可以作为医学上的前沿研究。 主要研究重点，在于不同种类的粒子，对应不同频率的激光类型。 其次，就是技术上的可操作性。 还有一个重点，是检验和识别该聚集粒子的类型。这个部分，可以结合灵性。 所以，灵性和高科技的结合，是未来医学的发展趋势。
植物神经部分中，区域与整体的影响是什么,三、区域与整体的影响：机体内部的不同区域，对整体都有不同的影响。 这个被影响的客体是指人体，影响的主体是信息。即信息对人体的影响。
区域与整体的影响中，反应流的触发与扩散是指什么,1、反应流的触发与扩散：反应流的触发数量，与机体活力相关。 触动的越多，会让机体扩散更迅速，机体的循环性能会得到加强，运转也会更加的流畅，人体也更加健康。增加和激活触发，有以下几点： 1）增强敏感性：可通过平静的觉察或者冥想来达到。 2）通过某些特殊的活动来引发：这些活动比较具有个体特征，需要个体来自行探索。就是当个体投入某项活动中，对该活动产生热情的时候，会激活相应的触发点。 3）通过药物方式：此种方式会关闭其它的一些触发点而作为代偿，所以较有风险。
区域与整体的影响中，整体平稳与区域损坏是指什么,2、整体平稳与区域损坏 某个区域的损伤与整体的相关联性，对整体的平稳性带来的影响。有以下6点：  1）        局部神经链的断裂对整体的影响 其中有3组主要神经链。这3组神经链如果有损伤，可以互为代偿。如果神经链全部断裂，会引发机体80%以上的机能停止和瘫痪。  2）        局部功能对整体带来的影响 某些局部功能遭受损伤的时候，其它较为强势的区域，可通过加强供能，以达到整体性的平稳。 个体局部损伤在30%以下的时候，都可以通过这种方式来达到平衡。 超过30%，个体会感觉到不适，从而引发相应的疾病症状。 一般来说10%以内可以称为健康，30%以下是亚健康，30%以上是非健康状态。  3）        区域连带作用对整体的影响 一般来说，某些区域产生损伤的时候，整体系统会根据情况，将其隔离，以防止损伤进行扩散。 但某些变异机制，会破坏这种隔离，产生连锁反应，引发更大的破坏。 未来的医学，可以通过研究这种破坏隔离反应的原理，来研究出反破坏的技术，从而达到控制病情的作用。  4）        区域损伤的累积对整体的影响 某些区域的累积损伤，会产生较为严重的病变。 这种情况下，可以通过切割和置换来进行医治。 5）   复合体传导带来的影响 这种通常和先天体质有关。某些较弱区域，可以追溯到复合体，来查找原因。  6）   家族遗传机制的影响 某些区域，涉及到家族遗传相关的方面。可从家族业力历史，来查找相关的原因。
植物神经部分中，与其它神经系统的关系是什么意思,四、与其它神经系统的关系：植物神经对其它神经系统的影响。
与其它神经系统的关系中，与感觉神经系统的关系是什么意思,1、与感觉神经系统的关系：是既有影响、又具有独立性的关系
与其它神经系统的关系中，与运动神经系统的关系是什么意思,2、与运动神经系统的关系：植物神经的活跃，可以带动运动神经的发展。通过训练，可以锻炼个体的某些技能。
6区中，视觉神经部分的量化数据是多少？,综合量化数据（扭曲变形度）： 人类平均50~60%。
6区中，视觉神经部分的量化数据代表什么,代表扭曲变形度
视觉神经部分中，图像采集部分的量化数据是多少？,综合量化数据： 人类平均70%。
图像采集部分中，对目前画面关注点的数量这个检测点的量化数据是多少,量化数据： 人类平均60%。
图像采集部分中，视觉关注的重点倾向这个检测点的量化数据是多少,量化数据： 人类平均40%。
图像采集部分中，被忽视的部分这个检测点的量化数据是多少,量化数据： 人类平均40%。
图像采集部分中，在无意识状态下所接收到的信息比例这个检测点的量化数据是多少,量化数据： 人类平均20%。
图像采集部分中，主要的关注点对其它部分的影响程度这个检测点的量化数据是多少,量化数据： 人类平均60%。
图像采集部分中，视觉画面受主观信念影响的程度这个检测点的量化数据是多少,量化数据： 人类平均70%。
视觉传输的部分中，对非重点关注成像的上传比例，人类平均的量化数据是多少,量化数据： 人类平均45%。
视觉传输的部分中，对非重点关注成像的上传真实度，人类平均的量化数据是多少,量化数据： 人类平均40%。
视觉传输的部分中，图像向上传输的损耗度，人类平均的量化数据是多少,量化数据： 人类平均30%。
视觉传输的部分里边，传送中被外力篡改的比例，人类平均的量化数据是多少,量化数据： 人类平均40%。
视觉回忆的部分中，情绪对视觉回忆的影响，人类平均的量化数据是多少,人类平均35~45%。
视觉回忆的部分中，思维认知对视觉回忆的影响，人类平均的量化数据是多少,人类平均38%。
视觉回忆的部分中，无意识图像所占的比例，人类平均的量化数据是多少,人类平均25~35%。
视觉回忆的部分中，由时间所带来的画面失真程度，人类平均的量化数据是多少,人类平均45%。
"声音采集部分中，声音关注点的数量,人类平均的量化数据是多少",人类平均60%。
"声音采集部分中，听觉关注的重点倾向,人类平均的量化数据是多少",人类平均65%。
"声音采集部分中，视觉信息对听觉信息带来的影响,人类平均的量化数据是多少",人类平均60%。
"声音采集部分中，声波中被模糊处理的部分,人类平均的量化数据是多少",人类平均45~55%。
"声音采集部分中，完全忽略的部分,人类平均的量化数据是多少",人类平均28%。
"声音采集部分中，信念系统所带来的听觉盲点的比例,人类平均的量化数据是多少",人类平均35%。
"声音采集部分中，语言系统的转换所带来的失真影响,人类平均的量化数据是多少",人类平均27%。
"声音采集部分中，个体主观意图的影响,人类平均的量化数据是多少",人类平均37%。
"声音传送部分中，信念系统的影响,人类平均的量化数据是多少",人类平均55%。
"声音传送部分中，潜意识倾向的影响,人类平均的量化数据是多少",人类平均38%。
"声音传送部分中，主观预设的影响,人类平均的量化数据是多少",人类平均55%。
"听觉神经部分中，声音存储部分,人类平均的量化数据是多少",综合量化数据（失真率）： 人类平均50~60%。
"声音存储部分中，因为方式转换带来的失真程度,人类平均的量化数据是多少",人类平均45%。
"声音存储部分中，存储中带来的主观预设的因素,人类平均的量化数据是多少",人类平均70%。
听觉神经部分中，声音存储部分的量化数据代表什么,声音存储部分的综合量化数据代表失真率
听觉神经部分中，声音回忆部分的综合量化数据是多少？,综合量化数据（失真率）： 人类平均45%。
听觉神经部分中，声音回忆部分的综合量化数据代表什么,代表失真率
声音回忆部分中，情绪的影响，人类平均是多少,量化数据： 人类平均60%。
声音回忆部分中，受到时间流逝所带来的遗忘的影响，人类平均是多少,量化数据： 人类平均45%。
声音回忆部分中，由新的不同的主观目的所带来的影响，人类平均是多少,量化数据： 人类平均55%。
植物神经部分中，物质层面的影响，综合量化数据（失真率）是多少,综合量化数据（失真率）： 人类平均55%
植物神经部分中，物质层面的影响，综合量化数据代表什么,代表失真率
物质层面的影响中，兴奋与平静的相互作用，量化数据是多少,人类平均65%。
物质层面的影响中，流动与顺畅程度的影响，量化数据是多少,人类平均48%。
物质层面的影响中，交叉与渗透的影响，量化数据是多少,人类平均60%。
外界刺激的影响中，粒子的运动方向所带来的影响，量化数据是多少,人类平均30%。
外界刺激的影响中，粒子的震动频率所带来的不同影响，量化数据是多少,人类平均40%。
外界刺激的影响中，由粒子聚集作用所产生的影响，量化数据是多少,人类平均35~45%。
植物神经部分中，区域与整体的影响，量化数据是多少,综合量化数据（影响率）： 人类平均55%。
区域与整体的影响中，反应流的触发与扩散，量化数据是多少,人类平均40%。
区域与整体的影响中，整体平稳与区域损坏，量化数据是多少,人类平均45%。
植物神经部分中，与其它神经系统的关系，量化数据是多少,综合量化数据（影响率）： 人类平均65%。
与其它神经系统的关系中，与感觉神经系统的关系，量化数据是多少,人类平均48%。
与其它神经系统的关系中，与运动神经系统的关系，量化数据是多少,人类平均50%。
植物神经部分中，外界刺激的影响，量化数据是多少,综合量化数据（影响率）： 人类平均25~35%。
植物神经部分中，外界刺激的影响，综合量化数据代表什么,代表影响率
植物神经部分中，区域与整体的影响，量化数据代表什么,综合量化数据代表影响率
植物神经部分中，与其它神经系统的关系，量化数据代表什么,综合量化数据代表影响率
人体（肉体）的某些机能，与灵体*的一些衔接和相互作用。 包括什么,包括：人体机能向上的传送+灵体机能向下的传送。是一个双向的过程。
人体机能向上的传送+灵体机能向下的传送这种传递工作由人类的什么系统负责？,人类的神经系统，负责这个传递工作。
视觉神经部分，是通过人体的视觉成像系统，把接收到的图像向上传输。为什么并非完全客观的成像,其中的过程，产生一定的扭曲和变形
当个体没有带任何主观意念去观看的时候，反而是最为客观的，所接受的信息也是更客观和更全面。对不对,对
个体的关注点会影响到个体对整体的视觉感受，举例,举例：当个体在观看森林的时候，主要关注点是一颗茂密的大树，那么个体就会感觉整片森林也是很茂盛的。 反过来：如果个体关注点是一颗干枯的树木，那么个体会觉得整片森林并不是那么健康和茂盛。
个体在向上传送图像中，会受到一定程度的外力影响和篡改。外力篡改有哪些,外力篡改，包括催眠波、催眠装置的影响，以及一些视觉、听觉的其它外力的影响。
个体在向上传送图像中，会受到一定程度的外力影响和篡改。比如：在观看视觉信息的时候，同时接收的听觉信息所带来的影响，以及相邻的视觉信息带来的交叉影响。请举例同时接收听觉信息所带来的影响和相邻的视觉信息带来的交叉影响,举例： 1）听觉的影响： 比如你看到一片森林，突然你听到一些鸟发出欢快的叫声，或者听到一些欢快的音乐，这时候给视觉图像带来的影响，就是森林的颜色会更加鲜明亮丽。 如果你听到一些阴森恐怖的音乐，森林的画面视觉就会变得暗淡一些。 2）相邻视觉影响：比如你低头看到一张恐怖的图片，然后抬头看森林，你的视角会有一种阴森恐怖的感觉（跟听到恐怖音乐效果是一样的）。
任何东西，当你回忆起来的时候，都会发生变化，而且处于一种不停在变的状态中。为什么,随着时间的流逝，个体关注的点会逐渐淡化，对主要关注的部分也会发生一些变形。因此，记忆系统，包括灵体的记忆系统，都是处于变化中的，并不是一成不变的，是时刻都在流动的。
个体当前所接收的视觉信息，会对听到的声音识别，所产生的影响。举例,举例：如果视觉看到很欢快的画面，那么个体就很难听到或者不会听到一些不舒服的声音，包括一些普通的声音，也会转化成比这种较积极乐观的倾向。
声波说明,声波说明：声波分为4个组成部分，分别是“波长、振幅、波形、畸变”。每个部分都会对传输的过程产生影响，对波的形态产生变化，不是一成不变的。
人体听觉机制，会有短暂的空白期，这个具有规律性吗,这个具有规律性，但个体的规律不太一样。
人体听觉机制，会有短暂的空白期。主要是在听一段之后，会自动停一下，在这段时间，声音就会听不到了。这个，可以通过训练，来延缓暂停的频率吗,可以
植物神经是属于潜意识支配和控制的一套神经系统。 在这个过程中，负责潜意识的部分，会受到各种的干扰和影响。 主要有哪些影响因素,有4小部分。 物质层面的影响。  外界刺激的影响。  区域与整体的影响。  与其它神经系统的关系。
交叉与渗透的影响分为几层,分为3层： 1-左旋感应； 2-右旋感应； 3-中央感应。 以上的三层感应，是双涡旋的增流机制的向上应用。产生相互交叉、相互渗透的影响。
交叉与渗透的影响会带来一系列的碰撞反应，这些反应会给机体带来什么,这些反应会给机体带来一系列的化学变化，从而影响机体内部的运动过程。
粒子同样方向的运动，会怎样,同样方向的运动，会引发舒适的感受。
粒子不同方向的运动，会怎样,不同方向的运动，会带来不适感。
粒子长期这种不同方向的运动，会怎样,长期这种不同方向的运动，会带来机体功能的混乱，从而引发疾病。
粒子不同方向的运动，有哪两种,不同方向的运动，包括直线方向和旋转方向。
粒子长期不同方向的运动中，直线方向会怎样,直线方向，多数演变为急性的疾病。
粒子长期不同方向的运动中，旋转方向会怎样,旋转方向，多数引发慢性的疾病。
粒子长期不同方向的运动中，旋转方向如果是多层旋转性的，层数越多，疾病就越如何,疾病就越复杂
一些疾病的类似症状，其实是这种短暂的应激反应。如果不仔细识别的话，很容易就以为自己生病了。这里的应激反应怎么来的,粒子的震动频率所带来影响有可能会让个体产生急速的应激反应，这些反应会在日常生活中常常遇到。
在实验中，可以模拟外部结构的震动频率，来引发机体内的同频共振，从而达到实验的效果。举例,比如：声音频率的影响，是其中的一种。这种影响，有很多可值得研究的地方。 举例：一些催眠性质的音乐，可以通过引起机体内部的运动，给个体带来错觉，给个体的判断也会带来混淆。
哪个检测点也和人体潜能的激发，有一定的关系,粒子的震动频率所带来的不同影响
声音频率的影响：一些催眠性质的音乐，可以通过引起机体内部的运动，给个体带来错觉，给个体的判断也会带来混淆。这个影响也被广泛应用于哪里,这个影响也被广泛应用于催眠轮回系统*的社会洗脑中
当个体遇到相应的场景，就会产生对应的机体内部反应，从而对这种倾向起到加强的作用。 这个也是催眠轮回系统循环控制的一个过程。对吗,对
一些同频的信息粒子，因为相吸而聚集在一起，对机体可能会产生一些障碍性的影响。影响分哪两种,这个影响分为隐性和显性。
由粒子聚集作用所产生的影响中，隐性影响是什么,隐性：就是长期潜伏在人体内的，没有发挥作用的。但这种情况会被系统记录下来，转化成隐形基因，可以在后代中得到表达。
由粒子聚集作用所产生的影响中，显性影响是什么,显性：就是造成明显的机体性障碍，也是常说的能量堵塞。
