问题,答案
在左右脑平衡度方面，如何个人自检,对于个人自检，可以多留意自己观察问题的模式，如：过于右脑会容易神叨叨不落地，信息元素的相互关系会比较散乱和抽象，形成的意识形态偏向于不稳定的流体状，缺乏联动性；过于左脑会容易导致信息僵硬化（程序化），信息之间的融合性和灵活性会比较差，形成的意识形态偏向于稳定而呆板的固态结构。若左右两者平衡，是一个相互结合优点的状态。容易造成的盲点：过度专注于有序性而忽略无序性的存在和作用。
关于左右脑开发程度，左右脑平衡方面，能再给个HOW的提示吗,法无定法，若把HOW说出来，就把路给你限死了，最终的目的是需要大家发散思维，敢于尝试，不断尝试，找到适合自己的方法。最后回过头，所有方法其实都是互通的（大道至简），这种通透性需要自己通过实践所得，谁也代替不了
提升点测试数据，多数人左右脑都是平衡的（分值很接近），高都高低都低，造成这种现象原因？,你是说意识强度值与数值的比例关系吧？其实数值差之间会有一个层级递进的关系，并非平均化，效果也是因人而异。
如何能更好的开发左脑呢，能不能举个例子？,方法已经说啦，剩下的需要自己去把信息融会贯通，只有在不断探索中才能提升自己
人类左脑平均60到85，右脑平均只有30到60。能不能基于这点，在第4区第1部分的右脑开发程度中，提出一些开发右脑的方法呢？,左脑侧重细节，右脑侧重大局，表现为思考模式，以及处理问题方式的差别，对于开发右脑，可以多尝试一些打破逻辑的练习，如：把音乐转换成图像（音乐可视化）；图像转换成音乐（图像声音化）；音乐转换成肢体语言（自由舞蹈，音乐指挥）；多语言混合输出（突破语言限制下的描述）；散步，跑步或者乘坐交通工具时，观想自己展开双手（可伸长和放大），去感知所触摸到的一切
图像转音乐，听起来有难度饿，有什么建议,盲人的世界，没有体验感受，建议可以去看看《夜魔侠》
第4区第1部分的双脑整合程度中，怎么提升,不管是偏左脑还是偏右脑，任何运作都是双脑同时协助运行的，只是各自参与的比例大小和合作效率的差别。提升建议：1、自检：观察自己平时处理事情的方式，寻找和分析自己的强点和弱点。2、练习：加强练习自己缺失的部分（弱点）3、修正：调整阈值，让左脑和右脑两种思想模式互相促进，从而提高效率。
 左右脑要协调整合，就要两者兼顾互相印证不能偏废。结合你前几天举的聊天的例子，既要考虑对对方的直觉感受，也要分析其逻辑动机，综合考虑客观下结论。再联系到对假高灵的识别，也是类似道理，不知上述理解偏差大不大？,对
偏右脑的强点弱点分别是怎样的,强点：连接潜意识会比较流畅，接收信息的敏感度高。弱点：信息混乱，缺乏条理性，不落地
偏左脑的强点弱点分别是怎样的,强点：观察比较细微，转换能力强。弱点：小我过于强大，缺乏灵活性，呆板。
小我过于强大，该如何对治呢,纯客观性，练习归零状态（白纸一张），不要习惯性把自己的认知和经验带进来。举个例子：点菜，小我意识：根据自己的喜好、经验和营养诉求等，进行选择。潜意识：直觉。再举个例子：观想一朵花，小我意识：为啥是一朵花？观想它干嘛？需要什么类型的花？观想树行不行.......。潜意识：花的颜色是......形状象......
很多人链接不到复合体灵的主要原因是什么,1、把发呆当成链接的方式，强行自己处于发呆（植物人）的状态，明明已经接收到信息，却视而不见，无动于衷，并误以为自己在破幻（假空）。2、小我太强大（对“我”的执着），条件反射式的根据自己的认知和经验对信息进行过滤、解读和判断。如：仪式感过强，给自己预设一个接收信息的特定状态（门槛），自动过滤未达到“要求”的信息。举个例子：认为真正连接的状态应该是表意识毫无觉知的情况下进行，如果自己很清醒，那么肯定是自己想象出来的信息。3、没有打开心扉，有恐惧，有防范心理等。流畅连接潜意识，是不需要复杂繁琐的引导过程，也不需要进入迷糊的状态（说梦话），甚至应该比平时更清醒，表达更清晰，因为此刻，意识强度最少比平时高2级以上。
先天自我开发程度是前世累积的对吗,先天自我已开发的程度不一定是前世，也有累世的，也有灵魂来地球前在各个宇宙探索中所累积的经验。
第4区第2部分后天自我探索程度与第1部分先天自我开发程度的开发重点是什么,先天和后天的开发重点不是区分，而是如何相辅相成，互相促进，如：利用自己所擅长的去开拓自己所喜爱的领域；把自己所喜爱的开发成自己所擅长的等。
一般来说，好奇心强，敢于尝试创新，灵活变通的人，后天自我探索程度就会高一些。对吗,是的。
这种后天自我探索如果偏左脑就容易僵化局限，如果偏右脑就容易天马行空不落地，所以需要左右脑平衡一起开发效率才会更高。对吗,是的。
先天开发程度是指什么,先天开发程度是指个体累世积累已开发的程度，如某个体经历了6世，职业分别是祭司、木匠、画家、医生、音乐家、数学家，而来到第7世，这6个职业的思维扩展在他出生后，作为先天配置能发挥出多少作用？以及各自的平衡性如何？这就是咱们上一部分所学习的内容。
先天开发程度请举例子,举个例子：个体从小在计算能力方面比较出众，因此倾向于左脑思维，这是个体前世的数学家思维拓展所带来的影响，但同时，个体的左右脑的平衡度不太好，很大的原因是个体在前世的祭司，画家，音乐家这三方面开发比较欠缺，这就是个体目前的先天配置。
先天开发程度练习重点是什么,1、通过前世回溯等途径去做记忆恢复的项目2、结合自己所擅长的领域，进行深度开发，并调整开发的比重，达至一个平衡的状态。
后天探索程度是指什么,后天探索程度是指个体今生目前已经探索的程度，如个体做了10年的数学老师，后来跳槽去做自媒体创作（如：抖音，油管之类），那么等于在原本偏左脑的工作转到偏右脑的工作。这个领域目前并不是个体所擅长的，属于个体向新的领域进行尝试，这个新开发出的经验值将会成为个体今生的累积，这个探索的部分有可能是全新的开发的（新体验新经验），也可能是先天已经存在的配置（尚未开发的前世技能思维拓展）。
后天探索程度练习重点是什么,后天探索相对于先天开发，更倾向于广度的扩展，咱们可以结合前面先天开发的部分，根据自己目前的状况，做一个全面的广度+深度的发展，把左右脑的运行调整到一个高效的模式。
先天开发程度和后天探索程度的关系是什么,先天和后天两个区域都有重叠的部分，不太像一个平行关系，更像一个相互递进的关系，如何区分两者并不是重点，重点是我们如何灵活运用，根据自己目前左右脑模式的比重，进行左右脑适当的调整，并同时进行同步的提升。
第4区第2部分中左脑开发程度的提升方法是什么,主要提升综合能力，例如处理某具体事务或实现某目标，宏观上要设计出好的体系架构，考虑到清晰、简洁、高效、易扩充等等。微观上要灵活、模块化、易理解等等。总之要有高度有深度有广度，抽象来看就像是一目的明确关系清晰的智能信息矩阵。这方面比较好的例子就是我们的蜂窝矩阵，具体可以参见——阳性矩阵：蜂窝结构的7级形态。这就是左脑开发的高分例子。
第4区第2部分左脑开发程度中小我意识过强怎么办,一是要客观，避免简单套用逻辑造成的先入为主的主观判断。二是学会筛选过滤，避免遇到什么都要习惯性去分析判断一番。做到这两点小我的活跃度应该会大大降低。
图像转换成音乐实践举例,例如看到一张椅子，心中就会产生一种基调，仿佛在诉说它的体验，音乐自然就流出来了
音乐转图像举例,音乐转换成图像，如果是听音乐的话，或许可以听听一些432Hz双耳节拍（双脑同步）的音乐也不错（耳机听效果会更好），跟随着某些恢宏的音乐可以把意识暂时拉出地球，与宇宙融合。
散步，跑步或者乘坐交通工具时，观想自己展开双手（可伸长和放大），去感知所触摸到的一切，详细说说,双手自然展开，观想自己的意识顺着双手向外延伸出去（可以是触觉，也可以是其他感官），动作有点像电影《泰坦尼克号》，Rose站在船头展开手的感觉，其实在静态或者动态下做这个动作都可以，一开始是意识顺着双手感知到路旁的植物，再延伸就是山河大地，再往后就是星辰宇宙......
第4区第2部分中右脑开发程度的开拓右脑的方法,"我们不管是现实中还是在梦里，碰到好的风景，往往第一反应是拍照打卡，拍完就转下一个场景，而这些照片拍完后，甚至都很少去细品，其实可以转变一下自己的习惯，遇到好的风景，不是急着拍照，给自己留出一点点时间，保持宁静的状态去融入当下，合一当下，慢慢你会觉得这样做比拍照更有意义，更能细微的感知到更多的信息。过后，当你再次回忆这些场景的时候，会有一种重现眼前的感觉，对，就是这种感觉，让自己的意识打破了时空的限制，重临故地，这个也可以简称：出神、出体、OBE,,,,,很早前的一个短视频，一位音乐大师假扮成普通人，选择上班高峰期的地铁口去演奏乐器，而上班的人群都像机器人一样，匆匆忙忙的路过，并没有去留意这些优美的旋律。而现在，大家都低头看手机，像机器人一样从来没有留意周边的环境。拓展一下，合一本源也是一样，不管深度多少，只要你记住这个“感觉”，在你工作，逛街，吃饭等过程中，都重新回忆这个合一本源的感觉，让这个感觉与周围的环境融合，会有神奇的效果。关于“感觉”和“回忆”的定义，上面已经有大量的铺垫"
第4区第2部分中双脑整合程度的提升方法,建议先调整为左右脑平衡的状态，再同步提升，这样左右脑才能互相促进，互相补强，否则偏强的一边会不断打压偏弱的一边，不利于整体发展。
双脑整合程度的提升方法落地举例,偏一方的很容易因为某种获得感而更多的利用那一方，造成越来越失衡。我觉得调整失衡一样可以用觉察来实现，那就是平常处理事务，除非特殊情况需要偏向某一方，都要提醒自己两方面都用一下，而这也有利于提高自己行为的自主化。
第4区第3部分中先天设定可超越的程度如何理解,这个数值是相对个体而言，不具备横向对比的意义，因为这个数值是参考个体已经累积的开发程度，虽然都设为100%，但每个人的内容就不一样了。 举个例子，A的先天数值是懂8门语言，分别是英、俄，汉，法，西班牙，德，阿拉伯，波斯，B是懂两门，分别是英，葡萄牙。A这一世学会了：英，汉，法，日，韩，对比上一世，增加了日语和韩语两门语言。B这一世学会了英，汉，对比上一世，增加了一门汉语。考考大家，谁的先天突破数值大？就如特斯拉这种级别，在地球搞了那么多惊为天人的发明，但对于他自己的先天突破或许并不大，因为绝大部分的知识都是他来地球投胎前带来的，他只是把这些已有的经验应用在地球而已。在自由世界，流通最大的数值并非意识强度，而是经验值（包含灵魂体验经验值和专业技能的经验值），但经验值在脱离轮回所起到作用却是微乎其微，反而意识强度才是关键因素。
怎么恢复记忆,待表潜打通后，就会慢慢开始回忆起来
第4区第3部分中已突破先天的程度如何提升,一是好奇心强思维开阔，多尝试新玩法新思路新体验。这种做法其实也会带动很多相关点的提升。二是打破舒适区，创造新挑战。舒适区其实就是形成某种依赖，阻碍了进一步提升。非舒适区往往是提升这点的关键，新的挑战就是提升突破程度。总之，生命不止，折腾不已。三是突出重点，有广度同时也要有深度。对现实生命来说，时间精力是有限的，有些可以是尝试型的，例如吃新菜品。有些可以是深入型的，例如潜意识（内心）很想去做的事，想做就要努力做好。第四点，心态很重要，就是玩，游戏心态。体验同时不要形成新的执着新的依赖。
第4区第3部分中已突破先天的程度如何提升举例子,对于提升突破先天的程度，把内求，觉醒意愿，行动力，主动性，客观性，意识开放性，游戏精神这7强应用起来就挺好的。举个例子——客观性：很多人有觉醒意愿，也自行学习了各种各样的修行方法，但对催眠却不感兴趣，即使去学习催眠，也是为了某种目的而硬着头皮去学习，他们往往是从一开始就用了心智翻译模式去看待催眠，觉得应该是这样，应该是那样，最后得出结论：门槛太高，不适合自己，这样就把自己止步于前了，而事实上，学习催眠不是需要你学得多“专业”，案例要多“丰富”，来头要多“厉害”，关键是从互催练习中锻炼自己的客观性和表潜（表意识和潜意识）的通透性，而这些如果不是站在客观的角度上，是很难看清楚的，看看反催游戏的招生简章，很简单的几句话，有多少人却理解错误的。举个例子——游戏精神：对于修行，某些人习惯套用科学研发的那一套方式，先理论假设，等理论模型没问题后，最后再去做大批量的实验，但这套用到修行上，完全走不通，最终只会主观性的绕圈子，并自以为是，有一种提升的假象，为什么会这样，我的解释只有一个，就是游戏精神，多尝试多实践，不怕试错，从实践中不断总结并及时修正，这样结合之前的信息，才会让你循序渐进的达至通透的状态，否则不管如何解释，你的理解永远建立在固有的认知上，毫无建树。
为什么说实践是检验真理的唯一标准？言语道尽又是什么意思？,非实修情况下去理解和传播信息的时候，很容易导致信息失真。比如：一个信息，言语表达出来，小我再去理解，小我再去转译，他人再去理解，他人再去转译，导致信息严重失真。
第4区第4部分中理解事物的能力（智力水平）中，智商60分的还能提升吗？,属于最基本的理解能力，在60~80%的范围内，数值高点和低点，在实修中并没有太大的区别，就如在日常生活和工作中，能与大家进行无障碍沟通的，基本都没有这方面的问题。
第4区第4部分中理解事物的能力（智力水平）为什么重要,而这个数值之所以重要，是因为当它与个体的主观（自以为是）捆绑在一起的时候，会自动形成一个自圆其说的意识闭环，相当于把自己的意识锁死在一个封闭的空间，并自动过滤和屏蔽所有信息。
有的人习惯先假设，再推论的例子及解析,举个例子：1、实修和理论的区别，举个例子，大家从来没吃过苹果，所以不知道苹果是什么味道，现在桌上放着几个苹果，想最有效的知道苹果是什么味道，该如何做？去吃一口是实修，讨论苹果是什么味道是理论。A：一切都是幻相，如果去吃不就入幻了吗？苹果是幻，味道也是幻，因此去吃根本没有任何意义，最后得出，实修和理论没有区别。2、关于本源的描述以及本源和个体的关系（本源1=1+1+1+1+....，所有都是本源，没有不是，......）都说过很多了，对比上面吃苹果的例子，苹果相当于本源，吃相当于实修，就是我们经常说的合一本源，所有说实修是验证真理的唯一途径。B：既然大家本身都是本源，若教唆别人去合一本源，等于有意暗示别人跟本源是分离的。A和B最大的特点就是先假设，再推论，这也是目前科学研发的主流套路，但用在觉醒上，就不行了，容易变成陷入理论的怪圈，兜兜转转终究还是用心智翻译去进行自我理解。如A：一切都是幻相，.....B：既然大家本身都是本源，.....。要真正透彻“一切都是幻相”和“大家本身都是本源”，最大的前提是需要个体证得本源（觉醒/得道/意识强度9以上+脱离轮回），这样才能真正明白言语道尽的局限性，他们都没有经过实证，从一开头就进行了假设，然后在假设的基础上进行推理，这种情况延展出去，就如有人喜欢拿经典的经文来进行假设一样，他们或许觉得假的成不了经典，经典必然是真的，所以作为假设完全没错（甚至都没有意识到自己在做假设），但他们忘记了一个关键点，就算经文是对的，但言语道尽，即字面的理解无法企及真相的亿分之一，只有个体亲身实证才能做到表意识和潜意识的完全通透，这里由不得半点虚假。为什么元哥从一开始就强调不要相信他，一定要带着怀疑去实证，因为实证是检验真理的唯一途径。所以，你说A和B智商不在线，貌似又不是，但他们就是很容易把一些很纯粹的信息搞得绕来绕去，特别复杂，然后无论对方如何解释，他们都能充耳不闻，视而不见，因为他们都在自我假设的基础上进行自圆其说。
有的人无论对方如何解释，他们都能充耳不闻，视而不见，因为他们都在自我假设的基础上进行自圆其说。像这种固步自封的状态怎么解决,像这种固步自封的状态，基本是无解，唯一能解开的只有个体自己。
第4区第4部分中理解他人的能力如何提升,理解他人的能力，这一点其实很落地的，实操性非常强，如在心理咨询，销售、服务，人际交往等方面都应用非常广泛。观察——重点是客观和细微，客观关键是不带主观性的小我预判和偏见，不要用小我投射的模板（背景和思维习惯、系统语言、利益和角色定位等）套在他人身上，如《疑邻盗斧》的寓言故事就是一个很经典的案例。细微是细致观察对方的状态，如微表情，肢体语言，潜台词等，这些都是很多人容易忽略的地方，要学习的话，相关的心理书籍有很多。影视方面如一些无台词的人物描述镜头，也有这方面要表达的信息，潜台词（言外之意）方面，看看《天道》也不错。倾听——重点是耐心和引导，通过引导让对方放下心理隔膜，畅所欲言，过程中要有耐心，并给予对方足够的空间去释放。练习主要是共情能力和同理心的巧妙运用。沟通过程中，要注意遇到信息含糊的地方需要进行具体化和明确化，不要高估自己和他人的理解能力，高估他人对自己的伤害，低估自己对别人的伤害，否则就会容易造成沟通障碍。理解他人的能力，这一点其实很落地的，实操性非常强，如在心理咨询，销售、服务，人际交往等方面都应用非常广泛。直觉——来自于潜意识，有人习惯叫第六感，也叫表意识和潜意识的通透性（表潜合一），通过对潜意识的大量沟通可以提高表潜的通透性，至于表意识和潜意识的区别和切换技巧，以前分享过，这里就不复述了。在实操过程中，不建议随便合一对方，或者移情于对方，而是切换潜意识的状态，并调整自己的频率与对方形成同频，这样有利于潜意识之间的沟通。举例的话，很多侦探电影如《唐人街侦探》系列，主角经常用情景重现，模拟犯罪人作案的经过，借此来寻找线索的桥段，其实也是调频的例子之一。
为什么不建议随意合一对方,看自己了，不是金刚钻不揽瓷器活，如对方身上万一有剑蝶灵和附体这些，会容易被入侵（盗取信息，植入信息，附体等）
如何观察得出一个人有没有剑蝶灵(间谍灵）和附体,方法很多，如互催、互动（观察，聊天等）、直觉（感知），如我跟大家聊天的时候，同时也可以跟对方的灵核进行互动
是不是在意识状态高到一定程度，在直觉方面也会有很大的提升，比如很容易看出本质，对方背后的动机，意识流都瞒不了,是，会以一个比率呈现，如对方有隐藏意识，权限高可以通过各种途径进行挖掘，权限不够，只能感知到对方有多少百分比的隐藏意识存在（简称暗区）。
关于权限的描述很多，好像特异能力身体能力开发等都和权限相关，是谁定的，地球游戏规则定的吗,意识强度越高，权限越高，至于出马附体之类，不在讨论范畴
这个权限是意识强度自己对应得到的，还是一种地球规则,意识强度
灵核之间的性格差距大吗,看灵魂倾向了，没有一个灵魂是一模一样的
相似的成长背景或地位可以造就相似的人格，那么是否相似的灵魂经验或状态位置，(充当灵核）造就相似的灵的性格呢,自由意识没有规律可循，高灵（大我，高我）的情感比人类丰富多了
第4区第4部分中接受新事物的能力如何提升,接受新事物的能力与客观性及意识开放性关系比较大。能进到这里的人接受新事物的能力已经是优于常人了，但需要警惕的是自以为是，这样就封闭了自己。我本身就是个反面例子，有几年就是类似状态。大家回想一下，自己意识飞跃的阶段是不是如饥似渴的开放心态，停滞的阶段是不是自以为已经通晓的阶段。我现在的阶段对待新事物是平常心，未来有了新变化再报告。接受新事物需要先客观接收，如果带着主观去接收就会出现认知偏差，疑邻偷斧就是很好的例子。接收之后也不能一股脑全盘吸收，因为对新事物如果没有正确的认识的话，反而会拖累你的提升。至于如何分辨和整理归纳以前都已经涉及过了。
第4区第4部分中接受新事物的能力举例子,打个比如，原本是一直做了多年专业领域的工作，一天心血来潮想要跳出这个框框，离开这个舒适圈。看待新事物要保持客观，好奇心，先了解和认真的去学习完全陌生的事，熟悉各个操作，吸收了别人教的知识，灵活转换再运用等。这种例子非常多，如元哥分享的内容，08年从贴吧开始还是比较传统的修行方法，相对前沿的算是出体（OBE）了，到了17、18年，元哥分享的内容就变得更“前沿”了，如强制轮回系统，复合体结构，意识强度，DNA破解等，这个时候很大一部分人接受不了，还没有去深入理解，就已经把新事物拒之门外，甚至一度认为元哥被盗号了。连很多修行人都逃不出的意识惯性，相对普通人的例子就更多了。而对于我自己，早期08年贴吧开始，很多传统的方法如百日筑基，中脉周天，脉轮我都试过了，整了10年也没啥进步（原因或许是我笨，也许这些方法不适合我吧），10年的意识强度也就从5涨到6~6.5，当时在门罗贴吧的老鸟应该会认识我吧，我当时的ID是huabao3100，然后到了元哥18年的分享（我是18年初，通过小鱼推荐才知道有元哥的微信群），至此，新的知识对我冲击很大，幸亏我的7强还凑合，结合新的方法，对我的提升终于有了质的飞跃，从6.5到破9只用了一年半。对于这个点，建议多觉察那些自以为是，先入为主的主观判断，保持客观和虚心，才能让自己观察到更多的客观信息，不要习惯性做主观性的假设（未经亲身实证的或者是道听途说的信息），就如疑邻偷斧的故事一样，当你有了假设，接下来的推论都会容易陷入不自知的自圆其说（自我造幻）中去。新事物的接受与否都是每个人的自由选择，终究在于你修行的最终目的是什么了，是高效提升脱离轮回，还是做一个某某标准的鉴证砖家，还是专注于体验轮回人生的，只有自己知道了。
第4区第4部分中接纳他人的能力如何提升,先回顾一下之前的提升点：【三】下方区-神圣连接区→第三部分 生命探索相关→2、对生命的接纳度：是否对生命本身的接纳，感受到生命的脉动。接纳生命，才会接纳自己、他人和这个世界。量化数据：人类大部分在20-60%。尊重万物的自由意志，既接纳花朵盛开时的灿烂，也接纳花朵凋谢时的落寞，接纳万事万物的变化，也是接纳生命原本的样子，做到这一点，才能接纳自己、他人和这个世界。接纳他人可以通过观电影法，用角色扮演的角度去观察他人，会发现每个人就如电影中的人物一样，各自遵循自己的人设去努力演绎剧中的角色。作为观众的你，有时候会被他们的精彩演出所感染（移情），彻底入戏了（当真了），当你从电影抽离出来的时候，会发现人生只是一场戏，再难以接纳的戏中人物，当卸下戏服的一刻就回归演员了，他们甚至会诚恳的问你：“我刚才的表演怎么样？”，想一想，自己又何尝不是呢？这场人生大戏，跟你搭戏的角色会很多，有亲人，同事，朋友，路人....，要让自己不入戏（不当真），可以通过两个常用的方法：1、调换角色——就如你是导演，把A和B各自演绎的角色进行调换，通过这种跳戏演绎来打破固化的认知角度。练习可以先从影视片段开始，如《无间道》把两个男主演绎的角色互换，《泰坦尼克号》把男女主的性格互换等，熟练后再从现实中展开，如一些你难以接纳的人，尝试换成其他人来演绎，除了换头外，还能换性格，换人设等。2、调频——难以接纳他人，往往是自己的频率无法去包容对方的频率，原因是自己缺乏这个频率的体验，以致无法去理解（兼容）该频率的思想模式。好的电影会对角色进行心理描述，让你觉得角色的行为反应都是情理之中，即使是反派也能让你动容，但现实中，这些描述会缺失，因为你习惯只用“我”的角度去观察。练习可以让自己多去体验这些缺失的频率，如你觉得家人很啰嗦和蛮不讲理，那么你可以让自己去演绎“家人”这个角色，而且为了让自己演的像，就必须去深入了解家人的心理活动和行为动机，并站在“家人”的角度去观察，然后你会发现他们的行为都是情理之中，因为演的专业才让你入戏，这样你就开始释怀了，即使以后再遇到类似这样的角色，你也能轻松驾驭，并懂得如何配合他们“演戏”来降低冲突，把原本的宫斗剧情逆转成温情的励志剧，你从演员蜕变成观众，再变成编剧和导演，怎么玩都可以。这就是不当真的状态，没有经过实操，很难去理解。
接纳他人的能力怎么实践来提高,当我遇到别人让自己有情绪的时候，往往我会站在本源的角度去观想，也会站在对方的角度去思考问题，不当真是前提，我们都是演员，在玩游戏的心态，为什么要让自己生气呢。
第4区第4部分中融入集体的能力如何提升,1、适应和融入各种团体和集体意识中：这点可以从幼儿园、学校、工作单位等进行追溯自检，基本每个人都有相关丰富的经历。对于网络群聊，关键在于个体融入的深度，即个体对群聊的目的（功能定义）和表、潜意识的参与度，如个体把群聊当成休闲、八卦、灌水用的，那么这个群聊的作用还不算是集体意识。对于提升，无法融入集体的原因有很多，建议多觉察自己，除了人际交往的技巧外，往往是个体过于主观，小我太重所引起的问题，如自弱、自负、偏执、猜疑、好强，我正他邪，存在感的执着，对相处之道的误解等。2、在集体中能够保持自我：是指在集体中保持自主意识（自我思考），避免陷入集体无意识的状态，如羊群效应和破窗效应所带来的影响，这点在【一】中央区：心智控制区——自动化程度vs自主化程度（自由意识）中有所体现。具体例子可以参考德国电影《浪潮》，还有元哥分享过的短片《盒子》。3、平衡处理与集体的关系：这点是在第2点保持自我的基础上进行的，要做好平衡，建议：1-保持意识开放，自己行驶自由权利的同时，也要尊重大家的自由意志。2-确立集体的目标和个人目标是否一致，举个例子：你准备加入一个群聊，那么先搞清楚此群的目标是什么？是抢红包发广告的，还是研究特异功能的，还是觉醒（意识强度9以上+脱离轮回）的，到底跟自己的目标是不是一致，并衡量自己能否遵守群规。如果你的目标是觉醒（意识强度9以上+脱离轮回），那么你和本群的目标就是一致的，根据百猴效应，觉醒集体蜂窝结构的不断强大，也会带动个体意识的提升。3-了解集体意识运行特点，如了解集体是蜂窝结构还是金字塔结构，前者是并行，后者是串行，举个例子：觉醒集体蜂窝结构属于并行结构，个体无须像集体金字塔结构那样，必须依附于权威，完全可以借助个体自由并行的发展来带动集体提升，如有人选择传统的修行，有人选择出体破幻，有人选择梦修，有人选择互催.....，大家可以选择适合自己的方式。条条大道通罗马，个体没必要执着于我正他邪，只要尊重自由意志，允许百花齐放，并保持客观积极与大家交流互助，这样就能起到个人与集体互补和促进的作用。
第4区第4部分中影响他人的能力如何提升,影响他人的能力，在我看来，主要来自几点：1-   以身作则——自己内求自强，并起到带头作用，当别人看到你的积极性和提升效果，才会被你影响。举个例子：不少修行人经常抱怨，自己跟亲人或者朋友谈灵修时，经常被嗤之以鼻，这种情况就要自检一下自己的修行有没有落地了，不管你如何口吐莲花、出口成章，但生活和工作中的老毛病还是没有改变，又如何让对方信服？2-   以理服人——站在客观的角度上，摆事实说道理，逻辑严密，条理清晰，往往容易说服影响他人。但如果话题是感性的，或者聆听方是偏向感性的，就要转变角度了，这里需要灵活变换。举个例子：工作上，你希望上司或者客户采纳你的建议，那么就是理性说服。在赛场上，你希望队员一鼓作气赢得比赛，那么就是感性说服（漫威电影的美国队长老干这事情）。3-   互相帮助——当你施恩于他人，他人也会以恩情回报，这样一个平等互惠，互相信任和尊重的关系才会建立起来。4-  影响时机——当大家的意识焦点不在一个点上或者缺乏相关诉求时，强行去影响他人，只会拉牛上树，适得其反，而选择适当的时机，才会让对方有认同感，影响力才能顺水推舟，事半功倍。举个例子：朋友的事业如日中天，你跟他讲灵性，他根本听不进去，反而会觉得你神叨叨，但如果某天他遇到一些人生的起落，并开始反思和觉察的时候，把握这个时机往往才能真正帮助到他。
第4区第4部分中独立思考的能力是什么,独立思考并不是从信息搬运工演变成理论空谈大师，如绕圈王、结论帝、砖家和杠精等。独立思考的结果并非一定与众不同，但一定是最能体验个体的7强，这个差异决定了个体对信息的通透性和观察的维度。独立思考是指对信息进行全面的搜集、观察、客观验证、总结和修正，最后内化出适合自己的信息模型（意识模块组合），借此更高效的去分类管理信息，并延展出更多的观察角度。
