问题,答案
介绍14穴位（鼻梁尾端）：,位置：鼻梁末端的位置，两眼之间。 功能：和DNA演化目标有关，也与精神控制有关。 基因进化的目标有可能被操控，从而能达到一种精神控制。这种情况多半有相应的植入物来配合。如：屏蔽真正的进化目标，而制造虚假的进化目标。 这个穴位容易受催眠波*的影响，给个体带来一些不稳定。 量化数据（畅通度）： 人类大部分30~60%。 强化的方式：可以多进行深呼吸。
介绍15穴位（额头中央）：,位置：额头中央的位置。 功能：与他人的一些意念交流有关，更多是潜意识层面的意志沟通和信息交流。 对外界信息的一些处理，在睡梦中会得到自动整合。 如果该位置比较通畅的话，个体对外界信息的理解度和整合度就会更高，思维也会更通畅。 量化数据（畅通度）： 人类大部分40~60%。
介绍16穴位（百会）：,位置：百会穴。 功能：跟宇宙信息和能量的接受有关。 这个位置畅通的话，不容易受物质幻像的影响，精神世界更丰富，更有灵性层面的追求，也会更有创新精神。 量化数据（畅通度）： 人类大部分40~60%。
介绍17穴位（头上15厘米）：,位置：头顶上面10~15厘米的位置。 功能：类似信息交换器的功能。 宇宙信息先到达这里，通过交换和转化，转化成个体可识别的方式，再传给个体。 个体的意愿，也是通过它进行交换和转化，再传到到宇宙中。 这个点顺畅的话，信息的交流会更顺畅。 量化数据（畅通度）： 人类平均30%左右。
介绍18穴位（头上30厘米）：,位置：头顶往上30厘米的位置。 功能：跟意识的关注度有关，也是自由意识的参与程度。 关注度越强，自由意识的参与度越高，更有利于个体的灵性成长，灵魂的自主程度也会更高。 这个指标，人类的个体差异比较大。 量化数据（畅通度）： 人类大部分在30~60%。
18个穴位是在人体的哪里,除了海底轮4穴不确定以外，其他都是在人体的正中。
介绍7区粒子的聚合度：,聚合度越强，个体的意念就会更加明确和清晰，不会稀里糊涂的。这个跟智商也有一定的关系。量化数据：人类大部分30~60%。
介绍7区粒子的发散度：,发散度越强，个体的思维更加灵活，不会陷入在原先的思维当中，不容易产生固化，量化数据：人类平均40%左右。
介绍7区粒子的流动畅顺度：,顺畅度越高，个体各方面更加平衡，思想、意愿和情感更加平衡。量化数据：人类大部分30~60%。以上这三个点都可以细分为很多小点，如思想、意愿、情感......等。 因为信息粒子无处不在的，会根据个体的任何念头来形成自己的形态，元吾氏答疑中提到的那本书《思想形态》*跟这个有关。  *关于《思想形态》，请参考1901年英国出版的《Thought-forms》，作者Annie Besant和C.W. Leadbeater。
介绍7区回流的深度：,地球的能量层次，也是一种复合的形式。不同个体的能量，流转到地球的深度都不一样，最深是到地心。量化数据：人类平均30%左右。
介绍7区回流的速度：,速度越快，代表能量的运行越顺畅。量化数据：人类大部40~60%。
介绍7区回流的完整度：,在能量的循环上，能量流动到一些地方，没有穿过，而是跳过去了，这样会造成能量的循环不完整。量化数据：人类平均60%左右。
介绍7区落地的程度：,是指个体神性的能量，显化在物质层面和肉体层面的程度。这个具体有很多层面的显化，可以继续细分很多小点，值得大家研究。量化数据：人类大部10~30%。
介绍7区落地的持续度：,是指个体神性部分，落地后的持续程度。一些人的某些神性，落地后会慢慢断掉。因为一些个体会满足于一部分已经落地的神性，从而停滞不前。这也是个体成长很重要的方式。量化数据：人类平均20%左右。
什么是粒子运动部分,指多维空间中，与人体运转相关的信息粒子运转情况。多维空间的信息粒子，会根据个体的思想和情绪，发生相应的变化。
什么是与地球的能量回流部分,个体的能量循环与地球的能量循环，互相影响的关系。
什么是神性的落地部分,是指神性的能量，有多少在生活中显化出来，达到真正的落地和实用。
1穴位，位置在哪,在耻骨位置
1穴位功能是什么,功能：与生存的安全感相关。
1穴位的畅通度代表啥,安全感
1穴位量化数据（畅通度），人类大部分多少,20~30%
1穴位马云多少,0.6
1穴比尔盖茨多少,0.7
2穴的位置在哪,在第1个穴位往后大概3~4厘米的位置。
3穴的位置在哪,会阴穴。
4穴的位置在哪,和第1穴位相对应。
5穴的位置在哪,肚脐下面的穴位。
6穴的位置在哪,肚脐上面的穴位。
7穴的位置在哪,胃部正中央的位置。两侧有两个辅助点。
8穴的位置在哪,膻中穴。
9穴的位置在哪,喉轮和心轮之间。
10穴的位置在哪,喉轮/喉咙部位。
11穴的位置在哪,在咽喉的位置。
12穴的位置在哪,人中穴。
13穴的位置在哪,鼻尖位置。
14穴的位置在哪,鼻梁末端的位置，两眼之间。
15穴的位置在哪,额头中央的位置。
16穴的位置在哪,百会穴。
17穴的位置在哪,头顶上面10~15厘米的位置。
18穴的位置在哪,头顶往上30厘米的位置。
2穴的功能是什么,主要吸收大地的能量（营养），给身体带来养分。
3穴的功能是什么,能量循环的出口。
4穴的功能是什么,和创伤承受力有关。
5穴的功能是什么,生殖系统的编程（机器人AI编程）。
6穴的功能是什么,生命的自主程度。
7穴的功能是什么,主要存储情绪。会向旁边的两个辅助点进行辐射，通过这两个点，循环到人体的各个方面。
8穴的功能是什么,主情感的抒发。
9穴的功能是什么,批判性思维的编程。
10穴的功能是什么,和理性思维有关。
11穴的功能是什么,跟表达的抑制有关。这种抑制基本上跟心智模式有关，个体真正想表达的东西，会在表达之前，经过心智过滤，考虑如何表达会更适合当下的情况，会做如何表达的最终选择。
12穴的功能是什么,跟隐藏能量的激发有关，代表个体蕴藏的潜力。
13穴的功能是什么,主要与灵魂的意愿有关。
14穴的功能是什么,和DNA演化目标有关，也与精神控制有关。
15穴的功能是什么,与他人的一些意念交流有关，更多是潜意识层面的意志沟通和信息交流。
16穴的功能是什么,跟宇宙信息和能量的接受有关。
17穴的功能是什么,类似信息交换器的功能。
18穴的功能是什么,跟意识的关注度有关，也是自由意识的参与程度。
2穴的畅通度代表啥,这个穴位畅通的话，个体就能明确自己的目标（自己想要什么），不太容易迷茫。
3穴的畅通度代表啥,畅通的话，会很有行动力，精力旺盛，不容易疲劳。也是代表性能量的很重要的一个穴位。
4穴的畅通度代表啥,通畅的话，对失败和创伤有很高的承受力，能从中得到成长，不会那么脆弱、一蹶不振。
5穴的量化数据代表啥,此穴位的量化数据，是受编程的影响程度。编程程度，代表人类个体受编程的影响有多少。
6穴的量化数据代表啥,突破编程能力，这个越强的话，突破机器人编程的能力就越强。
7穴的畅通度代表啥,这个能量点畅通的话，人体代谢比较强，不容易积压负面的情绪。人类的压抑情绪，还是挺普遍的。此数据是该点的畅通指数。
8穴的畅通度代表啥,通畅的话，在情感表达方面更为轻松。傲娇，跟这个穴位的·淤堵有关。膻中穴的四周，有好几个小穴位，它会往周围的小穴位散发被积压的情绪。根据小穴位不同的接收程度和流动情况，人会有不同的表现。比如有些是沉默寡言，有些是傲娇，有些是竭嘶底里。
9穴的量化数据代表啥,受编程影响度，受这个编程影响越多，批判性的思维就越重。
10穴的畅通度代表啥,畅通的话，个体会更客观的表达，会有更理性的思考。情绪和情感的压抑，会影响表达，会影响思维方式，变得更加主观。当个体有情绪的时候，需要让其疏散和释放，这样才能让个体更加理性的表达。情绪的积压，就像被多菱镜反射一样：不停的折射，会给个体带来思想和表达的扭曲。
11穴的畅通度代表啥,较畅通的话，个体的表达就更完整和通畅。不畅通的话，个体会被心智模式的影响，导致压抑和变形。检测指标是心智模式影响的程度。
12穴的畅通度代表啥,与人类的潜力有关，代表个体蕴藏的潜力。
13穴的畅通度代表啥,畅通的话，就代表个体目前的道路，是灵魂真正的意愿，灵魂的自主性也会越来越强。
14穴的畅通度代表啥,和DNA演化目标有关，也与精神控制有关。
15穴的畅通度代表啥,如果该位置比较通畅的话，个体对外界信息的理解度和整合度就会更高，思维也会更通畅。
16穴的畅通度代表啥,这个位置畅通的话，不容易受物质幻像的影响，精神世界更丰富，更有灵性层面的追求，也会更有创新精神。
17穴的畅通度代表啥,这个点顺畅的话，信息的交流会更顺畅。
18穴的畅通度代表啥,跟意识的关注度有关，也是自由意识的参与程度。关注度越强，自由意识的参与度越高，更有利于个体的灵性成长，灵魂的自主程度也会更高。
2穴位量化数据，人类大部分多少,人类大部分40~50%。
3穴位量化数据，人类大部分多少,人类大部分40~60%。国家不同、性别不同，也有不少差异。
4穴位量化数据，人类大部分多少,人类大部分40~60%。
5穴位量化数据，人类大部分多少,量化数据（受编程影响度）：人类大部分60~80%。
6穴位量化数据，人类大部分多少,量化数据（突破编程能力）：人类平均30%左右。
7穴位量化数据，人类大部分多少,人类大部分20~30%。
8穴位量化数据，人类大部分多少,人类大部分40~60%。人类最大的意识漏洞在心轮，也就是情绪。这个穴位如何影响个体的情感表现，是一个很有意思的研究。
9穴位量化数据，人类大部分多少,量化数据（受编程影响度）：人类大部分60~80%。
10穴位量化数据，人类大部分多少,人类大部分40~60%。
11穴位量化数据，人类大部分多少,量化数据（受心智模式影响程度，或不畅通度）：人类大部分60~80%。
12穴位量化数据，人类大部分多少,人类大部分10~20%（多数为催眠系统*压制了人类的潜力）。
13穴位量化数据，人类大部分多少,人类大部分60~80%。
14穴位量化数据，人类大部分多少,人类大部分30~60%。强化的方式：可以多进行深呼吸。
15穴位量化数据，人类大部分多少,人类大部分40~60%。
16穴位量化数据，人类大部分多少,人类大部分40~60%。
17穴位量化数据，人类大部分多少,人类平均30%左右。
18穴位量化数据，人类大部分多少,人类大部分在30~60%。
粒子的聚合度，量化数据是多少,人类大部分30~60%。
粒子的发散度，量化数据是多少,人类平均40%左右。
粒子的流动顺畅度，量化数据是多少,人类大部分30~60%。
与地球的能量回流的深度，量化数据是多少,人类平均30%左右。
与地球的能量回流的速度，量化数据是多少,人类大部40~60%。
与地球的能量回流的完整度，量化数据是多少,人类平均60%左右。
神性的落地部分中，落地的程度，量化数据是多少,人类大部10~30%。
神性的落地部分中，落地的持续度，量化数据是多少,人类平均20%左右。
粒子运动部分指什么,指多维空间中，与人体运转相关的信息粒子运转情况。多维空间的信息粒子，会根据个体的思想和情绪，发生相应的变化。
神性的落地部分指什么,是指神性的能量，有多少在生活中显化出来，达到真正的落地和实用。
神性落地的程度指什么,是指个体神性的能量，显化在物质层面和肉体层面的程度。这个具体有很多层面的显化，可以继续细分很多小点，值得大家研究。
神性落地的持续度指什么,是指个体神性部分，落地后的持续程度。一些人的某些神性，落地后会慢慢断掉。因为一些个体会满足于一部分已经落地的神性，从而停滞不前。这也是个体成长很重要的方式。
多维空间的信息粒子，会根据个体的思想和情绪，发生相应的变化。主要有哪几种变化,粒子的聚合度、粒子的发散度和粒子的流动顺畅度这三种变化
7区哪些检测点推荐大家研究,1、聚能贮存部分中8穴位（膻中穴）：人类最大的意识漏洞在心轮，也就是情绪。这个穴位如何影响个体的情感表现，是一个很有意思的研究。2、神性的落地部分中落地的程度：落地的程度，是指个体神性的能量，显化在物质层面和肉体层面的程度。这个具体有很多层面的显化，可以继续细分很多小点，值得大家研究。
双肾是什么,双肾，是能量贮存中心，也是中脉运行的护卫官。
贮存在体内的能量，有几条管道,两条
贮存在体内的能量以什么为能量中心,双肾
贮存在体内的能量，有两条管道，以双肾为能量中心，配合什么完成能量的循环。,中脉
双肾，是中脉运行的护卫官，对吗,对
中脉运行分多少个主要穴位/脉轮。,18个
中脉的运行程度，代表了什么,代表了这个人的健康程度和防御力。
中脉的完全畅通，需要什么的畅通。,穴位
18穴位的量化数据，均与什么有关。,畅通度
什么是中脉运行的护卫官。,双肾
为什么双肾是中脉运行的护卫官,因为贮存在体内的能量，有两条管道，以双肾为能量中心，配合中脉完成能量的循环。
双肾，是能量贮存中心吗,是
7区聚能贮存部分，中脉运行分多少个主要穴位/脉轮,18个
人类不停的去工作和发展的原因是什么,生存的这种不安全感，是迫使人类不停的去工作和发展的原因之一.
人类需要平衡影响安全感的种种元素，目前主要是啥,目前主要是追求金钱和权利。
1穴位（耻骨位置）通畅会如何,生存的安全感比较高
哪个穴位主要吸收大地的能量（营养），给身体带来养分。,海底轮，2穴位
2穴位（1穴后3厘米）畅通的话会怎样,个体就能明确自己的目标（自己想要什么），不太容易迷茫。
代表性能量的很重要的一个穴位是哪个,会阴穴。
会阴穴畅通会怎样,会很有行动力，精力旺盛，不容易疲劳。
4穴位（1穴对应）畅通会怎样,对失败和创伤有很高的承受力，能从中得到成长，不会那么脆弱、一蹶不振。
人类的压抑情绪，还是挺普遍的。对吗,对
7穴位（胃部中央）这个能量点畅通的话会如何,人体代谢比较强，不容易积压负面的情绪。
7穴位（胃部中央）两侧有两个辅助点的作用,7穴位主要存储情绪，会向旁边的两个辅助点进行辐射，通过这两个点，循环到人体的各个方面。
8穴位（膻中穴）通畅的话会怎样,在情感表达方面更为轻松。
傲娇的原因,跟8穴位的淤堵有关。
膻中穴的四周，有好几个小穴位，它会往周围的小穴位散发被积压的情绪。根据小穴位不同的接收程度和流动情况，人会有不同的表现。比如,比如有些是沉默寡言，有些是傲娇，有些是竭嘶底里。
人类最大的意识漏洞在哪,人类最大的意识漏洞在心轮，也就是情绪。
10穴位（喉轮）畅通的话会如何,个体会更客观的表达，会有更理性的思考。
情绪和情感的压抑，会影响什么,会影响表达，会影响思维方式，变得更加主观。
当个体有情绪的时候，需要如何，才能让个体更加理性的表达。,需要让其疏散和释放
情绪的积压像什么,就像被多菱镜反射一样：不停的折射，会给个体带来思想和表达的扭曲。
表达的抑制跟什么有关,这种抑制基本上跟心智模式有关，个体真正想表达的东西，会在表达之前，经过心智过滤，考虑如何表达会更适合当下的情况，会做如何表达的最终选择。
11穴位（咽喉）较畅通的话，会如何,较畅通的话，个体的表达就更完整和通畅。
11穴位（咽喉）不通畅会如何,不畅通的话，个体会被心智模式的影响，导致压抑和变形。
激发能量有哪两种方式,循环式累积激发、线性流动激发。
12穴位（人中）通畅会怎样,畅通的话，就代表个体目前的道路，是灵魂真正的意愿，灵魂的自主性也会越来越强。
基因进化的目标有可能被操控，从而能达到一种精神控制。这种情况多半有什么来配合。,相应的植入物
基因进化的目标有可能被操控，比如,如：屏蔽真正的进化目标，而制造虚假的进化目标。
14穴位（鼻梁尾端）容易受什么的影响，给个体带来一些不稳定。,容易受催眠波的影响
14穴位（鼻梁尾端）强化的方式是什么,强化的方式：可以多进行深呼吸。
如果该位置比较通畅的话，个体对外界信息的理解度和整合度就会更高，思维也会更通畅。哪个位置,15穴位（额头中央）
16穴位：（百会）较通畅会怎样,这个位置畅通的话，不容易受物质幻像的影响，精神世界更丰富，更有灵性层面的追求，也会更有创新精神。
17穴位（头上15厘米）较通畅会怎样,这个点顺畅的话，信息的交流会更顺畅。
7区粒子运动部分，粒子的聚合度、发散度、流动顺畅度这三个点都可以细分为很多小点，如思想、意愿、情感......等。为什么,因为信息粒子无处不在的，会根据个体的任何念头来形成自己的形态
不同个体的能量，流转到地球的深度都不一样，最深是到哪里,地心
