问题,答案,
举例说明反应固化程度高的表现,举个例子：无缘无故被陌生人骂了，反应固化程度高的人会生气，甚至反击。其实这个点在电影《失控玩家》里面表现得淋漓尽致，几乎就是量身定做，如，主角觉醒后，试图唤醒身边的 NPC 朋友，告诉他们人生有更多的选择，但他们还是难以去改变习以 为常的机器人固化程序，没看过这部电影的同学，墙裂推荐去看看这部电影，一片胜万言。关于观电影法的具体操作可以进入公众号：古零答疑，里面有详尽的介绍。补充：表现反应固化程度高： 知道自己有这样的惯性反应，但又无法去改变，被触发时难以控制自己，如：越想越来气、越想控 制反而越难受等，另一种是处于不自知的状态，执行过程中毫无觉察力。,
举例说明反应变通程度高的表现,举个例子：无缘无故被陌生人骂了，反应变通程度高的人会去观察对方当时的状态，以及周边的环境，自己如何选择才能更让事情变得“有趣”。,
如何理解向内归因（向内反思）,当发生责任事件，向内归因比重越大，自省深度越高，很多自身的漏洞才能被挖掘出来，并得以修正。具体可以参考各个意识强度水平，在这个数值中的比重。向内归因相当于挖雷工具，内求相当于源动力。,
向内反思的表现和向外归责的表现,当发生责任事件，向内归因比重越大，自省深度越高，很多自身的漏洞才能被挖掘出来，并得以修正。具体可以参考各个意识强度水平，在这个数值中的比重。向内归因相当于挖雷工具，内求相当于源动力。向外归责程度高的表现，缺乏换位思考，无法包容和理解不同于自己的频率。,
专注力又等于什么,专注力=定力,
怎样练习和提升意识检测点,1-自我客观评估，分析目前处于正值与反值的意识状态，测出意识强度值； 2-总结和分析自身的漏洞，明确提升的方向，强化正值，降低反值； 3-设立目标和时间周期，并时刻保持觉察和反省，不断总结，及时修正； 4-定期进行自测和评估，通过复盘不断提升效率，直至觉醒（意识强度 9 以上+脱离轮回）。 5-不怕试错，多尝试，寻找适合自己的方法。实践——总结（自检、反省）——修正——实践..... 这样就会进入提升的良性循环。,
怎样通过静观的练习提高意识专注程度,举个例子，你要静观，但此刻的状态静不下来，但你又强迫自己去静，那么这个专注就会形成意识对抗，最终反过来变成疲劳，甚至意识分散。若换一个方式，保持顺其自然的状态， 静时观静，动是观动，才能让专注处于沉浸的状态，才会起来静心的作用。练习如何提高意识专注 程度： 1-就如上面提到的例子，保持顺其自然的状态下，不要形成意识对抗，而是将计就计，这样更有利 于逐步提高意识专注程度。 2-“沉浸”是关键，多去练习这种“沉浸”的感觉 3-专注与沉浸融合，变成一个舞台（观察站），万事万物的变化只是电影。 ,
意识分散程度高的表现是什么,静不下来，杂念满天飞。,
举例说明什么是思维僵化程度,举个例子：填鸭式的教育，单调统一的复制，不要个体自身的不同理解，而是要求对方去复制权威 性的理解,
思维僵化程度的表现有哪些,思维僵化程度，可以多自我觉察一些理所当然、顺理成章、天经地义、合乎情理、 不容置疑的意识倾向举个例子： 1-走过路过不要错过：路边看到有人排队抢购东西，不知道啥来头，但第一反应是先去跟着排队。 2-年龄界限：到了适婚年龄，就要成家立业，到了中年（成功的象征），得有家有楼有车有事业….. 2-羊群效应/破窗效应：看到打折，不管打折的商品到底适不适合自己，第一反应是买，买，买。 3-标准/权威：喜欢贴标签，如得道者得有得道者的样子……老板得有老板的范……消费者得有消费 者的脾气…..一家之主得有一家之主的威严…… 4-追求传统和经典：自认传统的实修方法，用一套固定的标准去衡量，觉得不一样的东西就自动排 斥，而不是看实际的效果。5-保守：隔行如隔山，不敢去跨界探索，习惯待在舒适区，不愿意离开，情愿待在笼子里，也不敢 去探索。补充：表现思维僵化程度高：对信息追求绝对性，唯一性，追求安全和稳定。,
陌生人敌视程度的表现是什么,主要是提防先入为主，因为对方是陌生人而容易产生主观性的倾向，而失去客观性的判断。关键点还是保持客观性，预防以偏概全，一朝被蛇咬十年怕井绳的情况。 补充：表现陌生人敌视程度高：把对方预设为“坏人”，潜移默化的丛林法则,
性观念绑架程度高的原因,忽略了因为压抑所带来的反作用力，破幻是通过化解来达成，而不是通过屏蔽，因为屏蔽越深，形成反作用力和执念就越强，这往往是忽略了顺其自然，大道自然的道理,
如何提高性观念自由度,不要忽略了因为压抑所带来的反作用力，破幻是通过化解来达成，而不是通过屏蔽，因为屏蔽越深，形成反作用力和执念就越强。不要忽略了顺其自然，大道自然的道理。只有这样才能把程序意识向自由意识过渡。,
性观念绑架程度高的表现,限制多，认为“戒”、“虐”才是验证的方法。,
在行动力方面，什么是效率最大的障碍,完美是效率最大的障碍，完成比完美更重要。,
可以去追求完美吗,可以认真的去追求完美，但不执着，并保持接纳的心态,
自我不满程度vs自我接纳程度中说的欲望指什么,欲望在这里只是中性词，代表参与游戏的活跃程度，就如元哥的那句话，欲望拉满，执着为零。,
自我不满程度高的表现,追求永远达不到的完美。,
如何理解顺其自然,通过大量的实践才能深入理解这个词的精粹,
执着（当真）和强烈的觉醒意愿如何区分,有倾向，不执着。减肥的例子，我内心喜欢瘦一点（不是受别人影响），可以采取方式减肥，但是我不在意自己胖或者瘦这个现实结果。游戏心态。利用强烈的觉醒意愿（欲望）来提高自己的行动力不等于执着，因为自己的修行达不到预定的目标而产生各种不满和焦虑那才是执着（当真），顺其自然不等于三天打鱼两天晒网，这都是给自己懒惰的借口，而是保持不执着的情况下尽可能去提高效率，这一切都在于自己如何灵活把控,
我理解的执着就是抱起某种思维、行为模式并拒绝改变，顺其自然就是允许任何思维、行为模式存在并为我所用。这个是否恰当呢,可以啊，意识本身是可以灵活调整的，如适当利用一些“执着”（这里可以理解为意愿力、专注力）来提高行动力，在另一个层面就是调整意识，通过提高某个目标的“欲望”来提高效率，但最终还是游戏心态，可认真但不当真，才能真正做到顺其自然。,
举例说明心智翻译扭曲度和沟通理解还原度有什么区别,举个例子：去深度合一本源，会发现所有的一切都是本源，没有不是。1-心智沟通：所有的一切都是本源，那么我也是本源，再去合本源就是多此一举。2-理解还原度：把自己意识拓频到无限接近本源的状态，会感知到所有的一切都是本源自发的，无穷无尽的幻想。,
心智翻译扭曲度高的表现,小我活跃，习惯性用小我（心智系统）去理解、定义。,
举例说明抗拒死亡程度（求生度）的表现,绝大部分的小说和电影，矛盾冲突都来自于对死亡的恐惧，也是核心的驱动力，人类对此乐此不疲，在梦境，也是如此。这里或许容易有个误区，有人会觉得那些有自杀倾向的人，死亡接纳程度就一定高，其实并不是，他们实质并不是接纳死亡，而是把放弃对死亡的抗拒当成解脱，这反而是一种我执的表现。还有表现就是小我怕失去控制，失去自我意识。,
性别偏见程度高的表现,排除不同地区、民族和国家之间的区别，在日常生活和工作中也普遍存在：1-女性应该示弱，矜持，温文优雅，男性应该示强，大方，不屈小节 2-女性应该主内，相夫教子，男性应该主外，挣钱养家 3-有些人不喜欢或者不认同某种性别关系（同性，忘年恋等），就自然产生排斥和讨厌， 这都是性别偏见程度的表现，还有就是在性别认知上，无法取得平衡。,
性别平等程度高的表现,尊重自由意识，即使自己不喜欢或者不认同，但可以允许这种情况的存在。,
自我比较程度的这个自我比较咋比，跟过去的自己比比进步吗,可以啊，同时也包括不同意识状态的比较,
举例说明他人比较程度高的表现,举个例子， 如老师带学生：他人比较程度高的学生，发现老师最近辅导自己的时间少了，会倾向对老师辅导每个学生的时间和积极性进行比较，若不一样，就会觉得老师偏心，并在同学之间产生对立，并萌生分离意识。,
举例说明自我比较程度高的表现,举个例子， 如老师带学生：自我比较程度高的学生，发现老师最近辅导自己的时间少了，会优先觉察自己最近的学习状态，会对自己不同时期的提升效率和意识状态进行比较，从而修正和优化学习计划，并积极向老师提出自己的学习诉求。,
他人比较程度高的表现,二元对立,
