问题,答案
为什么把心智控制区作为第一区放在中央区检测？是提高意识强度最重要部分吗？,相对来说是的，但是也因人而异。
对于自主化程度，例如对于一件事的选择，大脑出现两种情况，一种是理性的分析利弊，一种是突然冒出的觉得合适的想法，这两种是否属于自主化思考呢？或者说类似灵感什么的怎么判断是自主化还是潜意识倾向、过去经验、外部植入等的作用,1）不一定。2）觉察是不是每一个意识都是自由意识，而不受惯性意识的影响。
提升自主意识区的能力的基本核心办法是什么？,合一本源、认知一切皆为幻相游戏。
关于灵活切换能力，我之前有过这样的经历，就是在同时面对两件事情的时候，频繁切换思维和情感的状态，会产生烦躁感，并且这时候的应对更接近于本能，因为来不及思考，我想问：1）这种本能的应对是否属于较深层的心智系统？2）而让思维和感情的切换更加通畅，拥有更强的控制力是否能增强自由意识？,1）不一定，也可能是较深层的心智系统，也可能是较深层的自由意识。2）是。
怎样提高复合体们的协作能力和意愿统一度呢？,与复合体多沟通。
感觉第2区第二个检测点复合体协作能力和第2区第十六个检测点复合体意愿统一度息息相关。或者说统一度是协作能力的前提，是这样吗？如何才能提高复合体协作能力和意愿统一度呢？（除了合一本源的方法之外）,1）是。2）与复合体多沟通。 
意识强度检测点的不同仅代表对同一个意识的研究角度不同。我的问题是，假设我只对中央区（心智控制区）+上方区（自主意识区）这两区集中意愿进行训练提高，是否能实现意识强度>9呢？若上述方法可行的话，一般来说，修行效率是否相比九区同时兼顾并修要低呢？,不能。
检测点第16项，有个疑问，是不是要每个灵体都全面发展，全面开发，平衡好，复合体意愿统一度才会高?比如说，第一和第二灵体太差，没有修好，是不是会拖着上面的其他几个灵体，经常意愿冲突，不统一?,Yes。
请问提高意识的纯净程度是指不受各种程序影响吗，但是这些程序还一直跟随着个体？,是。
核心能量发挥率怎么提高？由于“根据个体投胎计划，程序设定的初始数值。一般需要缓慢提升。”，什么情况下可以直接突破程序限制？,1）提高意识通透度、行动力。2）提高自由意识强度。意识强度越高，突破的程序就越多。
是不是保持客观再客观就能解决检测点第2区的大部分（或全部）？,Yes。
核心能量发挥率、复合体协作能力、复合体意愿统一度要怎么测？要怎样测才能保持更客观？,与复合体直接沟通是最客观的测法。
生命不是一场游戏吗？为啥在这个区域有对生命的热爱，享受等的检测点呢？,检测游戏心态是否健康。心态健康才能玩的好。
权限使用程度高对于提高意识强度有帮助吗？,相反。意识强度决定权限程度。
第四部分：神性链接相关，可以理解为链接高我的深度、稳定度、和准确度吗？,是的。
“要先找到生命、看到生命，才能去让自己合一”，生命应该是指的所有的存在吧？与生命合一就是与万物合一？与本源合一？,是的。
在接触并接受元师的系统灵性知识之前和之后对第3区的每个检测点评分至少相差10--15分的差距，这算是意识强度进步吗？,算。
安全感高会不会是牢房条件升级，会不会反而让你更加依恋轮回？,没破幻的话，会。
通过“我的思想在沉睡，只剩下感受”我到达了一种很特别的状态（感觉深、定、静、觉察...等），此状态下本区检测点数值都很高，这种“感受”包含高我传递给我的信息吗？如何辨识验证？这是否也是解锁了连接权限？, 1）包含。2）是否有表意识的混杂，以及潜意识信息中是否包含假高我的信息。3）在当前的意识强度范围内，是的。
如何与内在神性相连接？,合一本源。
“权限给你了，能否用上，还要看你。”如何更加准确的意识到我所能探索的权限？如果给我权限了，我该如何更加敏锐的去意识和感知？,1）意识强度的高低，具体包含各个意识强度检测点。2）练习使用，熟能生巧。
 生命合一指数是否就是合一本源的能力？神性连接中，神性是否就是万物本源？, 1）是。2）是。
某些检测点的提高，是否能带来牵一发而动全身的效果？比如我觉得自己对自己的工作能力更自信后，很多安全感就都随之上升了。,是。
左脑的开发和右脑的开发各自有哪些侧重点？,坚持开放意识+客观最有效。
为什么人的思维结构是基本类似的，但是同一方法对不同人的提升效果相差很多？,机器体（肉体或灵体）的AI思维程序是基本类似的，但是灵魂的特性是完全各不相同的。
先天设定可以超越原有自我探索的程度大部分设定值10%-20%，这个是本源为了慢慢玩游戏才这么设定的，还是每一世复合灵团队商讨以后的数值，还是因为被T组催眠才设定这个数值？这也算权限的一种吗？催醒法可以提高这个数值吗？,Yes。
每个人的能力各有优缺长短，是否主要跟每人累世的经历有关，也就是说在哪方面锻炼多的能力就相对较强？但为何有些缺点好像是本性一样，不管怎么努力都很难改进，是修行路上的羁绊，有什么好的办法。,1）Yes。2）合一本源，破除缺点的幻相。
先天设定可超越的程度。这个是不是向内归因？,机器体（肉体或灵体）AI程序的设定，也不是绝对不可超越的。
第10项“已突破先天的程度。在实际探索中，是否已经突破了前世累积未达到的新深度。”，这个有个疑问，是不是有时候潜意识会告诉自己已突破先天的程度?或者多与潜意识沟通，能够了解更多这方面的情况?,Yes。
在催眠状态下，右脑的可视化能显示出来！请问这个显示（或看见）是灵体看见，还是肉体看见？,灵体看见，也就是你们所谓的“灵视”。包括梦境，也是你们所谓的“灵视”。
先天的配置数据是如何得到的，问阿卡西吗？,读取自己的机器体（肉体或灵体）内的AI程序设定。
如何与复合体沟通？通过什么方法？,催醒法。
如何量化突破先天的程度？,相对比例。
绝望型反应模式中，事件重大时头脑心智对个体影响越小的原因是什么？是头脑心智无法调用惯性经验吗？,是。
绝望型反应模式中，事件重大时头脑心智对个体影响越小的原因是头脑心智无法调用惯性经验，可以利用这个特点进行反催眠吗？,可以。
循环原发程度，人类普遍比例较高，所以说前世业力是人类潜意识惯性的主要来源吧？通过前世回溯催眠比较容易挖掘出这部分根源从而清除的吧？,不一定。潜意识惯性也可以来源于潜意识漏洞，也可以和前世无关。
怎么发现和清除自己身上的催眠植入物？,催醒法。
这些小惯性细化的程度和数量是不是有一定局限的? 也就是说这些小惯性细化到一定程度和数量就很难再细化下去了? 这个也是目前催眠系统的技术水平问题? 还有针对于这方面的分化细致性，有没有什么有效的“破解”方法?,没有。更深、更细的觉察。
答题时，更多的是使用合一一下还是用头脑思考。还是两者兼顾？,合一。
在答题的过程中越答越不想答，觉得答不下去、烦躁，看得懂又觉得看不懂。是不是都是潜意识惯性的体现？,是。
自体内是否可以安装催醒装置？如何安装？,可以。催醒法。
信念系统所带来的听觉盲点的比例：个体相信什么，想听到什么，就会听到什么。这个，是由个体的信念系统所选择的。,信息。声音所传达的信息按照信念系统的内容进行了扭曲，导致不符合信念系统的信息因扭曲而消失或误解了。
想要针对这一区的某项进行提升，您觉得直接静观、合一本源，和进行一些具体的视觉、听觉、记忆训练，哪个更直接呢？,都直接。
植物神经第二“外界刺激影响”中的“内外信息粒子的同频共振，所引发的一系列的影响”这一部分内容提到信息粒子共振，那么运用“静观法”或者“舍己从人跟踪法”在治疗疾病的时候，是相当于改变了内外信息粒子的共振频率吗？如果是，为何产生改变作用呢？或者可否解释一下如何改变的共振频率？,已经分3小点解释了，分别是运动方向、震动频率、聚集作用。
如何减轻或者消除由粒子聚集作用所产生的影响？感觉这个影响的大小与周围粒子场的形态和性质有关，不知道对不对。,同频相吸。你有什么意识，就会吸引相同意识的聚集。
人体听觉机制，会有短暂的空白期，这个具有规律性，但个体的规律不太一样……这个，可以通过训练，来延缓暂停的频率。元师能否介绍一些训练方法呢？,催醒法。
"第34项提到“粒子的运动方向所带来的影响，同样方向的运动，会引发舒适的感受。不同方向的运动，会带来不适感。长期这种不同方向的运动，会带来机体功能的混乱，从而引发疾病。”，这些粒子的本质是什么? 是什么原因引起了这些粒子不同方向的运动? 如何""消除""这种不同方向的运动带来的负面影响?",1）信息。2）外界信息粒子的刺激，引发内部信息粒子的同频共振。3）提升和拓展内在自由意识频率的自主性，降低被动性。
音乐可以提高/降低人的频率吗？通过共振的方式吗？,Yes.
身体机能的老化比如老花眼，视近物整体性模糊这样关注点会被迫减少，反应的真实性是否会更多一些？如果不会，原因是什么？,不会。整体性可能减弱。
二、视觉传输的部分，人在专注于工作的时候，越专注是否对整体图形采集就越失真了？有没有可能专注于某个点，又对整体图象100%采集到。,1）可能。2）可能。
怎么判断哪些是催眠信息呢？比如说音乐，文章，不具象的音频之类的呢？,二元、当真的意识频率。
本文中提到的所有穴位/脉轮，是指在哪些身体/灵体上的？还是所有身体/灵体上都有，功能都一样吗？,所有身体/灵体。每个穴位都分别有解说。
7穴位（胃部中央）是在解剖学的胃的中央？还是在人体的正中？,请看原文：“脐轮之后的穴位都是在人体的正中”。
提高各个穴位畅通度最有效的方法是什么？,每个穴位都分别有解说。内容就是方法。
可以通过电刺激针灸上述穴位来提升意识强度吗？,No。
检测点第7区提到的这18个脉轮/穴位，如果有一个脉轮有黑气流动，是不是有可能是有T灵附体？或者是复合体中有T灵？,可能。是。
例如中脉呼吸的时候，把自己的中脉想象成一个大的整体效果更好，还是在每个穴位处都细细停留一下效果更好呢？,只有第14穴位的强化方式与呼吸有关。
01穴位（耻骨位置）量化数据（畅通度）个体检测数据样本举例：他们是否有失去目前财富数量的不安，所以没有达到100%？我个人对财富的渴望数额不大，很容易达成，我是不是能给自己更高的量化数据（畅通度）80%？,人类需要平衡影响安全感的，有种种元素，财富仅仅是其中之一而已。
如何提高耻骨穴位的畅通度达到100%？除了挣钱和权力，还有哪些相关的安全因素来平衡我们这个穴位的畅通度？你是如何平衡这个穴位达到100%呢？,挖掘自己潜意识中与安全感相关的因素，解决每个因素的主观模式和程度问题。或者说：破除“生存安全感”的幻相。哪些因素与安全感相关，取决于个体的主观选择，没有两个人是完全一样的。第1条。
随着中脉18个主要脉轮畅通度的提升，其他意识强度检测点都会不同程度提升，是这样吗？,No。
用锻炼穴位的方法提高意识强度是不是从作用物质层面影响灵性层面？,穴位不在物质层面。
第8区灵性结构区的检测点是研究和衡量复合体之间的信息传输，这样理解对吗？,意识强度检测点的各区都是。
灵性结构是灵体意识的结构吗？,是（注：肉体也是一种灵体）。
反应空白，思维错位，反馈错误很严重的话要怎么做？,根据各方面的因素，因人而异。
我看完第八区我感觉和T组的催眠和自身幻象的联系很密切，是这样吗？这个区域的修复是否对破幻起到关键作用？如何迅速有效的修复这个区域？,1-2、各区都是。3、合一本源、拓展意识强度，或者催醒法。
对此区域进行自动完善的观想，能否逐渐提高此区域的信息传输率？,能。
瞬结型网状结构的调整：通过高层授权直接修改程序，您说是较难达成但不是不能达成。那么要怎么达成呢？是要和高我沟通吗？我怎么感觉我沟通的时候，回复都是类似“他们有点无所谓又有点乐得见这样”，或“计划就想这样”的这种感觉，我担心这是我大脑想的。我尽可能合一再沟通，是“尽力帮你调整了，但能力有限”，我再合更高的灵体，就是一种“懒得搭理我”的感觉，请问这含催眠信息吗？还是高我真的会就这样？,人类60%以上的所谓“高我”是被T组渗透的现状，再加上你的辨识能力有限，被“假高我”欺骗的可能性大约在70%左右。
请问灵性结构是指灵体的信息处理结构吗？,是（注：肉体也是一种灵体）。
信息传输率和稳定性如何加强提高？,根据各方面的因素，因人而异。
1）这些结构是在灵体上的吗？2）是不是需要观察到这些结构才能对其进行实际的修正，还是可以借助潜意识的智能直接命令其修正，通过观察效果来确认修正程度？,1、是（注：肉体也是一种灵体）。2、都可以。
如果对检测点内容不了解或不够了解，只是合一，能否自动提升检测值？,能，但是效率不好说。
第10底盘结构，此结构接收来自金字塔结构的数据。这个人体内的自金字塔接收信息与地球上的金字塔原理是否一样？人体内的和地球上的金字塔两者之间是否有信息联系？,没有任何关系。
自体灵性结构，指的是灵体中的灵还是体，还是都不是，如果都不是，指的是什么？底盘结构接收来自金字塔结构的数据，通过不同的算法机制进行分流，然后输送到个体。这里的个体指的是什么？,体。
检测点第四项提到的瞬结型网状结构，是不是这个结构越好，或者越来越更新、强化和升级，灵体和肉体的防护能力和痊愈能力就会更好？也就是灵体受到“攻击”也能在短时间内恢复和痊愈？修炼合神法是不是有助于更新、强化和升级这个结构？,是。是。这是一个机器人零部件结构，与修练什么没关系，只和零部件的研发和升级有关。修炼有效的话，最多达到现有结构的最佳状态。
增强各模块效果是否等于增加信息采集速度、广度、深度、准确度？,是的，增强各模块效果等于增加信息采集的速度、广度、深度、准确度。
增强的有效方法有哪些？,取决于不同模块、不同个体以及不同时期的具体情况。
这里的“国际”是不是应该理解成星际甚至宇际？,不是，这里专指“地球人体规则委员会”。
该委员会颁布的规则和章程，是不是人体机器人程序的一部分？,是的，该委员会颁布的规则和章程是人体机器人程序的一部分。
这个委员会跟T组有什么关联吗？,合作关系。
如果9个大分区所有的值都是100%，对应的意识强度是多少？,13级以上。
如何强化——模块间的合作、模块运动的同步、模块间交融的稳定？如何修复——信息模块？如何稳定模块结构？,取决于不同模块、不同个体以及不同时期的具体情况。
针叶式串行互动结构中，摆动频率与吸附单位的关系和变化具体是怎样的？,取决于不同的应用，应用有非常多的种类。基本原理是摆动频率与信息粒子单位震动频率之间的“同频相吸”原理。
用什么方式或手段可以具体地感知到？,催醒法。
人体规则委员会是什么组织？和T组有关吗？,独立的研究组织。与T组有合作关系。
有没有什么终极之法可以整体性的提升意识强度，直至破9？,催醒法。
“25水帘型互动结构”的维度是否是复合体的各个灵体所对应的维度？,没有固定的对应关系。
“26水漫型互动结构”是否就是合一集体灵了？,不完全是。这里更多是指机器人体之间的无线通讯和无线信息共享机制。
干扰是从哪里来的、干扰的来源是什么？,T组的催眠电波发射系统。
干扰的机制是什么，或者说如何干扰的？,有几万种不同的干扰机制和干扰方式。
如何屏蔽反向信号，恢复正常？,开发反催眠电波系统技术，进行电波频率屏蔽或者电波频率对冲。或者拓展自己的意识强度，提高抗干扰能力。
如何加深内部信息的交流与沟通？,催醒法。
本区意识可以定型的分析和解剖，人类的感情、信念、思维等无形概念在放大极细的情况下可以科学的量化和定形吗？,是。
