问题,答案
本源的游戏有哪几种角色？,"主要有三种。
1）创造者：创造游戏、管理游戏。有时自己也跳进游戏做玩家。
2）玩家：跳进别人创造的游戏，扮演一个玩家角色。
3）NPC：AI程序人/背景人、各种背景。背景角色，服务于游戏需要，受后台AI系统操控。
混合角色：以上三种占不同比例。"
本源玩游戏的要点？,"游戏越难越好玩儿。
增加游戏难度：限制、未知、意外、复杂性等。
换言之：
增加挑战极限的难度，也增加挑战极限的乐趣。
游戏棋盘上的黑与白，并不是真正的黑与白，只是左右手互搏的游戏角色。
只有黑子，游戏不成立。
只有白子，游戏也不成立。
黑子和白子都有，游戏才能玩起来。
道乃本源，无黑无白。
德乃游戏，有黑有白。
黑非真黑，白非真白。
故曰：道者不德，德者不道。
黑白当真，你就失道而德了。
一元者道，二元者德。
因为：一切都是本源的左右手互搏游戏，没有不是的。
认真不可当真。
越当真越容易输。越不当真越容易赢。
本源只是在左右手互搏，自娱自乐。
当真，你就输了。
当真，乃入幻之源。
当真，你就被催眠了。
当真，乃万催之源。
本源的本质是自由意识。
你的本质是自由意识，不想玩儿的可以自己决定撤出，无需理由。
你的本质是自由意识，想换边玩儿的可以自己决定换，无需理由。
自由意识，没有理由。
有理由的，不是自由意识。
什么限制都没有，才是真正的自由意识。
本源想怎么玩就怎么玩。
此乃绝对自由。
简言之：
玩家越尽兴，本源越开心。"
本源玩游戏有多少种类？,"粗分：只有两种，造幻和破幻。所谓大道至简。
细分：无数种，等于本源的想象力。所谓万物至繁。
什么是造幻和破幻？
造幻就是创造游戏。破幻就是破解游戏。
造幻是出题。破幻是解题。
换言之：
先有造幻，后有破幻。
没有造幻，则无幻可破。
没有出题，则无题可解。
没有创造游戏，则无游戏可破解。
本源自由意识无穷无尽的自发幻想，就是无穷无尽的造幻和破幻，是本源最大的乐趣。
也是唯一的乐趣。
简言之：
本源除了造幻破幻，好像啥也不会...
"
本源玩游戏有什么常见流派？,"举例：
游戏流派1：一切都是正面的，负面的不存在。
游戏流派2：一切都是负面的，正面的不存在。
游戏流派3：正和负都存在。
游戏流派4：一切存在都是真的。
游戏流派5：一切存在都是假的。
游戏流派6：真和假都存在。
游戏流派7：世界是上帝的。
游戏流派8：世界是魔鬼的。
游戏流派9：世界既是上帝的，也是魔鬼的。
游戏流派10：一切存在都是主观的。
游戏流派11：一切存在都是客观的。
游戏流派12：主观和客观都存在。
......
…...你能想象到的+你想象不到的......无穷无尽。
简言之：
本源玩游戏，全靠馊主意。"
本源如何以分身的形式玩游戏？,"分身为游戏的各种要素，比如：游戏设计者、游戏玩家、游戏环境、游戏道具等。
游戏设计者创造游戏环境和游戏道具后，邀请游戏玩家跳进来玩儿，或者设计者自己也跳进来玩儿。
常见的游戏设计者和游戏玩家：灵魂。
常见的游戏道具和游戏环境：
1）灵体、机器体（肉体=机器体）、橡皮体、火体、水体、气体、光体、矿物体、以太体、意识流体...等。
2）星体、星球体、星系体、星团体、宇宙体...等。
3）空间：游戏背景。
4）时间：事件的观察和体验顺序。
5）其它：...你能想象到的+你想象不到的......无穷无尽。
简言之：
本源玩游戏，全靠想象力。"
本源如何玩游戏？,以分身的形式。
本源觉得什么游戏好玩儿？,"游戏越难越好玩儿。
本源以玩游戏来消磨不生不灭的时间。
本源以玩游戏来挑战无所不能的无限。
简言之：
本源就是个老玩童。
"
本源如何玩游戏？,"举几个栗子...
比如：
创造一个“魔鬼”，再创造一个“小可怜”，自己分身扮演两种角色，尝尝欺负与被欺负的滋味。
玩腻了？
再创造一个“上帝”，扮演“正义”、“帮助”小可怜，与“魔鬼”大战三百回合，不分胜负。
又玩腻了？
再创造各种角色，十方混战、百方混战、万方混战......游戏越来越复杂、越来越难、越来越有趣。"
本源为什么喜欢玩游戏？,"本源不生不灭、无所不能。
不生不灭，则闲极无聊。
无所不能，则孤独求败。
由此，产生自娱自乐、左右手互搏。"
本源喜欢什么？,喜欢玩游戏。
意识强度级与催眠轮回的关系,"意识强度是催眠轮回系统的唯一漏洞，是脱离轮回的关键。
意识强度级越高，合一本源程度越高，破幻能力越强，脱离轮回的能力也越强。"
意识强度是什么,"每一个灵魂，都有一个独特的“意识频谱”(Spectrum of Consciousness)，没有两个灵魂是完全一样的。
意识频谱中有个综合性的量化指标，代表意识频率的宽广度/自由度/自主度，叫做“意识强度”。"
八强中，什么是实践力？,行动力+现实生活的点点滴滴结合在一起=实践力。单向行动力的人很多，全向行动力（与日常生活点点滴滴结合）的人很少。也就是修行和日常生活分离，不落地。另一个角度：小隐隐于寺庙，大隐隐于闹市。逃避生活的修行，是不落地的修行。依然活在分离幻里面。简言之，就是要“落地”。实践力=落地力。日常生活点点滴滴每毫秒的落地或不落地，是辨识/提升真假意识强度的一个关键要点。
